Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;Beauty & Personal Care › Make-up & Cosmetics;104;136,737;154.89
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;EUR;Lifestyles & Hobbies › Nightlife Enthusiasts;101;4,410;3.15
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Lifestyles & Hobbies › Green Living Enthusiasts;101;140,876;42.46
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Cayenne - Custom segment;101;4,577;3.37
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;Beauty & Personal Care › Bath & Body Products;98;50,284;58.18
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;Ljepilo (web stranice);97;56,082;83.72
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;People not in audiences;97;115,188;34.1
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;Travel;97;9,377;5.75
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Shoppers › Shoppers by Shop Type › Department Store Shoppers;97;140,427;40.33
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles by Brand › Land Rover;96;51,450;19.3
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Lifestyles & Hobbies › Business Professionals;95;25,140;10.74
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Shoppers;95;87,157;27.35
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;Home & Garden › Outdoor Items;95;39,705;81.58
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Shoppers › Shopping Enthusiasts;94;104,009;33.5
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;Employment › Executive & Management Jobs;91;18,590;14.24
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;Beauty & Wellness › Frequently Visits Salons;88;55,332;75.07
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Business & Industrial Products;85;133,330;34.86
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;Technology › Social Media Enthusiasts;84;67,410;193.67
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;Banking & Finance › Avid Investors;83;7,376;7.57
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles by Brand › Land Rover;80;22,329;11.12
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden › Home Furnishings;80;138,830;40.78
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden › Home Appliances;79;136,200;38.08
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles by Brand › Porsche;78;39,280;15.6
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Banking & Finance › Avid Investors;77;17,645;10.2
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Property;77;135,738;37.05
