Campaign ID,Campaign,Age,Gender,Cost,Impr.,Clicks
22978900537,Porsche Pia Sept 2025 (DG) - CPC,25 - 34,Male,991.89,3002944.0,37230.0
23091799676,Porsche Pia Oct 2025 (DN) - CPC,55 - 64,Female,1765.08,1445043.0,30118.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,35 - 44,Male,762.61,1917111.0,28599.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,35 - 44,Male,961.75,1609006.0,26560.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,55 - 64,Female,1007.81,857787.0,26100.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,55 - 64,Female,769.13,1050985.0,25407.0
23228106658,Porsche Pia Nov 2025 (GDN) - CPC,55 - 64,Female,1788.39,1347863.0,24979.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,35 - 44,Female,803.3,1222859.0,21963.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,35 - 44,Male,800.22,1408933.0,21590.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,45 - 54,Male,614.63,1193943.0,21196.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,55 - 64,Female,839.91,639055.0,21046.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,35 - 44,Female,543.68,1392019.0,20114.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,25 - 34,Female,540.29,1693591.0,20054.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,55 - 64,Male,580.72,838761.0,19190.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,55 - 64,Male,724.9,701843.0,18902.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,35 - 44,Female,680.01,1091408.0,18280.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,45 - 54,Male,695.66,966917.0,18202.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,45 - 54,Male,684.74,925929.0,17237.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,55 - 64,Male,639.97,588306.0,15600.0
23086499715,Porsche Pia Oct 2025 (DG) - CPC,45 - 54,Female,582.72,732945.0,14988.0
23218773990,Porsche Pia Nov 2025 (DG) - CPC,45 - 54,Female,570.8,702857.0,14343.0
22978900537,Porsche Pia Sept 2025 (DG) - CPC,45 - 54,Female,427.47,795942.0,14286.0
