Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
22253567644,McDonald's McCrispy I Feb-Mar 2025 (YT) - CPV,Fast Food Menus,0.92,301.0,0.0
22253567644,McDonald's McCrispy I Feb-Mar 2025 (YT) - CPV,McDonald's Chicken 30 Days,0.45,163.0,0.0
22253567644,McDonald's McCrispy I Feb-Mar 2025 (YT) - CPV,McDonald's Chicken 30 Days - GAds,0.87,293.0,0.0
22306114256,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.,Shoppers › Value Shoppers,0.23,288.0,0.0
22306114256,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.,Hair Dryers,0.2,273.0,0.0
22306114256,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.,Hair Styling Products,0.16,222.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Coffee Shop Regulars,0.19,243.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,0.32,433.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Foodies,3.36,3350.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Frequently Dines Out,0.71,1038.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.01,7.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.21,174.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Coffee,0.03,44.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Coffee Drinks,0.02,45.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,Coffee Shops,0.03,29.0,0.0
22324496873,McDonald's_Coffee_I_March_2025 (YT) - Bumper,McCafe - GA4,0.01,16.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.14,31.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.6,230.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Coffee,0.02,7.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Coffee Drinks,0.01,6.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Coffee Shops,0.02,6.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,Specialty Coffee,0.03,2.0,0.0
22324505909,McDonald's_Coffee_I_March_2025 (YT) - CPV,McCafe - GA4,0.02,6.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.09,30.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,Fast Food Restaurants,0.11,43.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,Mc Donalds Food and Promotions,0.11,40.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,restaurants mcdonald's,0.07,20.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,McDonald's Chicken 30 Days,0.01,4.0,0.0
22328128277,McDonald's_Triple cheeseburger_March_2025  (YT) - CPV,McDonald's Chicken 30 Days - GAds,0.05,11.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,0.7,372.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.04,18.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,Fast Food Menus,0.01,3.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,Fast Food Restaurants,0.05,29.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,Mc Donalds Food and Promotions,0.06,37.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,restaurants mcdonald's,0.02,10.0,0.0
22331816158,McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper,McDonald's Chicken 30 Days - GAds,0.02,7.0,0.0
22364175495,Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.1,59.0,0.0
22364175495,Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Dinner Out,0.32,143.0,0.0
22364175495,Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.65,386.0,0.0
22364179833,Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.1,76.0,0.0
22364179833,Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Dinner Out,0.22,184.0,0.0
22364179833,Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.47,364.0,0.0
22401314099,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.,Facial Hair Removal,0.6,700.0,0.0
22401314099,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.,Men Grooming Products,0.04,49.0,0.0
22401314099,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.,Mens Shaving Products,0.04,52.0,0.0
22401314099,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.,Shaving Supplies,0.07,86.0,0.0
22418606613,Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025,Sports & Fitness,0.45,489.0,0.0
22419253848,VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.,Shoppers › Value Shoppers,0.34,433.0,0.0
22419253848,VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.,Beauty & Personal Care › Spas & Beauty Services,0.47,684.0,0.0
22429120937,Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025,Beauty & Wellness,0.14,780.0,0.0
22429120937,Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025,Lifestyles & Hobbies,0.42,1898.0,0.0
22429120937,Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025,Lifestyles & Hobbies › Nightlife Enthusiasts,0.06,366.0,0.0
22429120937,Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025,Shoppers › Shopping Enthusiasts,0.6,2618.0,0.0
22429120937,Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025,Lifestyles & Hobbies › Thrill Seekers,0.22,1126.0,0.0
22429388089,VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025,Shoppers › Value Shoppers,0.47,1381.0,0.0
22432560440,Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV,Protein Snacks,0.05,29.0,0.0
22432580057,Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM,Protein Snacks,0.02,18.0,0.0
