Campaign ID;Campaign Name;Spend;Impressions;Clicks;Ad Formats
20347107080;T03_001210_HR_NFC_Cellular Concealer_CO_Jul23_Aug23_fullf_OMD_Preroll_Infl;0;0;0;Skippable in-stream
20344311260;T03_001210_HR_NFC_Cellular Concealer_AW_Jul23_Aug23_fullf_OMD_Preroll;0;0;0;Skippable in-stream
20344276466;T03_001210_HR_NFC_Cellular Concealer_AW_Jul23_Aug23_fullf_OMD_Bumper;0;0;0;Bumper
20328269496;McDonald's Chicken Box July 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20304551005;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_bumper_female;0;0;0;Bumper
20304483094;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_bumper_male;0;0;0;Bumper
20304441535;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_preroll_female;0;0;0;Skippable in-stream
20299556081;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_preroll_male;0;0;0;Skippable in-stream
20299004311;T03_001535_HR_NFL_Derma Skin Clear_CO_Jun23_Aug23_fullf_OMD_bumper_female;0;0;0;Bumper
20298959032;T03_001535_HR_NFL_Derma Skin Clear_CO_Jun23_Aug23_fullf_OMD_bumper_male;0;0;0;Bumper
20294159504;T03_001535_HR_NFL_Derma Skin Clear_AW_Jun23_Aug23_fullf_OMD_preroll_female;0;0;0;Skippable in-stream
20294088185;McDonald's McDelivery II June - July 2023 (YT) - Reach Mix -  CPM;0;0;0;Skippable in-stream + Bumper
20289496017;T03_001535_HR_NFL_Derma Skin Clear_AW_Jun23_Aug23_fullf_OMD_preroll_male;0;0;0;Skippable in-stream
20280361362;McDonald's Breakfast III June 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20278400128;T03_001584_HR_NFC_Q10 Expert_CO_Jun23_Aug23_fullf_OMD_want_preroll;0;0;0;Skippable in-stream
20276582522;T03_001583_HR_NDO_Fresh Range (unisex)_CO_Jun23_Aug23_fullf_OMD_bumper_female;0;0;0;Bumper
20276521652;T03_001583_HR_NDO_Fresh Range (unisex)_CO_Jun23_Aug23_fullf_OMD_bumper_male;0;0;0;Bumper
20276503670;T03_001583_HR_NDO_Fresh Range (unisex)_AW_Jun23_Aug23_fullf_OMD_preroll_female;0;0;0;Skippable in-stream
20276474306;T03_001583_HR_NDO_Fresh Range (unisex)_AW_Jun23_Aug23_fullf_OMD_preroll_male;0;0;0;Skippable in-stream
20273095841;T03_001584_HR_NFC_Q10 Expert_AW_Jun23_Aug23_fullf_OMD_know_preroll;0;0;0;Skippable in-stream
