Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
McDonald's McCrispy II April - May 2025 (YT) - Bumper;22452364523;In-stream video;EUR;45 - 54;Female;82;302,129;229.5
McDonald's Breakfast Mushrooms May 2025 - CPV;22515688781;In-stream video;EUR;45 - 54;Male;82;54,737;189.17
McDonald's Breakfast July - September 2025 (YT) - CPV;22743236866;In-stream video;EUR;45 - 54;Female;82;123,491;371.54
McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper;22200493569;In-stream video;EUR;18 - 24;Male;81;170,283;79.93
McDonald's Trust I May 2025 (YT) - Bumper;22518745594;In-stream video;EUR;18 - 24;Female;81;136,191;99.28
McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC;22921219638;Demand Gen;EUR;18 - 24;Unknown;81;5,490;1.69
McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;In-stream video;EUR;25 - 34;Female;81;145,282;502.33
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;EUR;35 - 44;Male;81;58,272;200.12
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;23051723493;In-stream video;EUR;35 - 44;Female;81;59,769;206.54
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - CPV;23062023805;In-stream video;EUR;35 - 44;Female;81;33,175;125.92
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV;23159917831;In-stream video;EUR;45 - 54;Male;81;69,385;240.04
McDonald's Trust II October 2025 (YT) - CPV;23084692750;In-stream video;EUR;18 - 24;Male;80;54,016;159.5
McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;23279927975;Demand Gen;EUR;18 - 24;Unknown;80;6,138;2.62
McDonald's Breakfast Mushrooms May 2025 - Bumper;22515626597;In-stream video;EUR;35 - 44;Female;80;100,820;96.8
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV;23159917831;In-stream video;EUR;35 - 44;Female;80;64,637;245.1
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper;23230869507;In-stream video;EUR;35 - 44;Female;80;282,314;266.29
McDonald's Happy Meal Squiishmallows June 2025 - CPV;22636378057;In-stream video;EUR;45 - 54;Female;80;105,229;365.47
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;22706177735;In-stream video;EUR;18 - 24;Male;79;66,333;176.33
McDonald's McNuggets II July - August 2025 - CPV;22818941470;In-stream video;EUR;18 - 24;Male;79;80,597;120.18
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;In-stream video;EUR;25 - 34;Female;79;143,023;470.43
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;EUR;35 - 44;Male;79;55,464;159.94
McDonald's McCrispy AO May-Jun 2025 (YT) - CPV;22600968923;In-stream video;EUR;45 - 54;Female;79;107,672;408.87
McDonald's Breakfast Mushrooms May 2025 - Bumper;22515626597;In-stream video;EUR;18 - 24;Male;78;79,012;62.59
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;23051723493;In-stream video;EUR;25 - 34;Female;78;61,674;230.78
McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper;23128436618;In-stream video;EUR;25 - 34;Female;78;155,950;135.29
McDonald's MOP Sep - Nov 2025 (YT) - CPV;23038260706;In-stream video;EUR;35 - 44;Female;78;91,928;293.77
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;23051723493;In-stream video;EUR;35 - 44;Male;78;67,397;228.4
McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV;23057401193;In-stream video;EUR;35 - 44;Female;78;112,560;355.82
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper;23084523094;In-stream video;EUR;35 - 44;Male;78;135,024;97.07
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;In-stream video;EUR;45 - 54;Male;78;55,893;175.22
McDonald's Grimace Exclusive June 2025 (YT) - Bumper;22632976000;In-stream video;EUR;45 - 54;Male;78;89,402;85.63
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;22706177735;In-stream video;EUR;18 - 24;Female;77;81,393;238.33
McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV;22982571265;In-stream video;EUR;18 - 24;Male;77;67,174;205.61
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;In-stream video;EUR;25 - 34;Male;77;153,054;140.03
McDonald's HM Lil McD's July 2025 (YT) - CPV;22784870398;In-stream video;EUR;45 - 54;Female;77;81,917;261.53
McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV;23128434905;In-stream video;EUR;45 - 54;Female;77;80,038;287.4
McDonald's 1+1 January 2025 (YT) - Bumper;22101432671;In-stream video;EUR;18 - 24;Female;76;126,149;73.06
McDonald's Grimace Exclusive June 2025 (YT) - Bumper;22632976000;In-stream video;EUR;18 - 24;Male;76;68,680;54.26
McDonald's HM Pokemon Jan Feb 2025 (YT) - Bumper;22165469401;In-stream video;EUR;25 - 34;Female;76;113,920;83.03
Elgrad  Feb - Mar 2025 (YT) - CPM;22273119028;In-stream video;EUR;25 - 34;Female;76;76,007;193.07
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;EUR;25 - 34;Male;76;68,481;238.84
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;23062023277;In-stream video;EUR;25 - 34;Male;76;249,289;134.49
McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper;22200493569;In-stream video;EUR;35 - 44;Male;76;247,918;131.34
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;23151653998;In-stream video;EUR;35 - 44;Female;76;65,542;247.92
McDonald's Mixology July 2025 (YT) - Bumper;22765251787;In-stream video;EUR;45 - 54;Male;76;108,288;112.36
McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV;23057401193;In-stream video;EUR;45 - 54;Male;76;110,039;323.04
McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper;23061820288;In-stream video;EUR;45 - 54;Male;76;141,139;167.29
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136085091;In-stream video;EUR;45 - 54;Female;76;292,007;216.23
McDonald's Sirious Winter December 2025 (YT) - CPV;23339715288;In-stream video;EUR;45 - 54;Female;76;118,734;390.14
McDonald's Happy Meal Squiishmallows June 2025 - CPV;22636378057;In-stream video;EUR;18 - 24;Male;75;57,244;179.86
McDonald's Coffee July - September 2025 (YT) - CPV;22733053338;In-stream video;EUR;18 - 24;Female;75;63,057;186.38
McDonald's McCrispy July 2025 (YT) - CPV;22738912700;In-stream video;EUR;18 - 24;Female;75;61,309;195.92
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper;23151658453;In-stream video;EUR;18 - 24;Male;75;67,334;84.54
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - CPV;23156569103;In-stream video;EUR;45 - 54;Female;75;69,837;242.7
McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper;22994092464;In-stream video;EUR;18 - 24;Female;74;163,070;130.37
McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;22200515907;In-stream video;EUR;25 - 34;Male;74;83,016;228.98
McDonald's Breakfast Mushrooms May 2025 - CPV;22515688781;In-stream video;EUR;25 - 34;Female;74;61,947;239.13
McDonald's Happy Meal Squiishmallows June 2025 - Bumper;22632870437;In-stream video;EUR;25 - 34;Female;74;93,964;112.75
McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;22099244537;In-stream video;EUR;35 - 44;Female;74;199,588;141.59
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;In-stream video;EUR;35 - 44;Female;74;61,637;221.88
McDonald's HM Lil McD's July 2025 (YT) - Bumper;22775346894;In-stream video;EUR;35 - 44;Male;74;68,479;106.23
McDonald's Happy Meal Squiishmallows June 2025 - CPV;22636378057;In-stream video;EUR;18 - 24;Female;73;71,653;243.31
McDonald's Breakfast July - September 2025 (YT) - Bumper;22739492762;In-stream video;EUR;18 - 24;Female;73;89,324;86.38
McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper;23201466458;In-stream video;EUR;18 - 24;Male;73;92,603;81.65
McDonald's McDelivery Jan - Apr 2025 (YT) - CPV;22129861369;In-stream video;EUR;25 - 34;Male;73;73,036;158.73
McDonald's McDelivery Jan - Apr 2025 (YT) - CPV;22129861369;In-stream video;EUR;35 - 44;Male;73;69,842;148.36
McDonald's McNuggets June 2025 - CPV;22655446491;In-stream video;EUR;35 - 44;Female;73;99,411;364.64
McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper;22200493569;In-stream video;EUR;45 - 54;Male;73;216,060;121.6
McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper;23351985054;In-stream video;EUR;45 - 54;Male;73;70,471;129.49
McDonald's Trust I May 2025 (YT) - CPV;22515310217;In-stream video;EUR;18 - 24;Female;72;71,123;274.92
McDonald's Coffee July - September 2025 (YT) - Bumper;22733055054;In-stream video;EUR;18 - 24;Female;72;176,442;89
McDonald's Breakfast Mushrooms May 2025 - Bumper;22515626597;In-stream video;EUR;25 - 34;Female;72;111,316;97.16
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV;23080445477;In-stream video;EUR;25 - 34;Male;72;54,421;187.66
McDonald's MOP Sep - Nov 2025 (YT) - CPV;23038260706;In-stream video;EUR;45 - 54;Male;72;100,763;290.85
McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper;22540460607;In-stream video;EUR;18 - 24;Female;71;96,800;103.64
McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV;22921320684;In-stream video;EUR;18 - 24;Male;71;62,306;141.13
McDonald's Employer Image II May - June 2025 (YT) - CPV;22633085185;In-stream video;EUR;25 - 34;Male;71;74,743;250.46
McDonald's Breakfast AO Sep - Dec 2025 (YT) - CPV;23051178150;In-stream video;EUR;25 - 34;Female;71;114,301;373.69
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper;23150230785;In-stream video;EUR;25 - 34;Female;71;234,276;165.15
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper;23151658453;In-stream video;EUR;25 - 34;Female;71;104,521;137.19
McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;23359818609;In-stream video;EUR;35 - 44;Female;71;76,165;137.91
McDonald's McDelivery Jan - Apr 2025 (YT) - CPV;22129861369;In-stream video;EUR;45 - 54;Male;71;54,158;109.28
Elgrad  Feb - Mar 2025 (YT) - CPM;22273119028;In-stream video;EUR;45 - 54;Female;71;82,166;198.22
McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;In-stream video;EUR;45 - 54;Female;71;112,123;357.68
McDonald's Coffee AO Jan - Mar 2025 (YT) - CPV;22083070983;In-stream video;EUR;18 - 24;Male;70;66,250;135.02
McDonald's Breakfast July - September 2025 (YT) - CPV;22743236866;In-stream video;EUR;18 - 24;Male;70;50,069;136.89
McDonald's Adventski kalendar December 2025 (YT) - Bumper;23314665535;In-stream video;EUR;18 - 24;Female;70;73,742;104.01
McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;22200515907;In-stream video;EUR;35 - 44;Female;70;79,863;228.51
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;In-stream video;EUR;35 - 44;Male;70;132,400;125.44
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV;23159917831;In-stream video;EUR;45 - 54;Female;70;62,246;223.11
McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper;23061447079;In-stream video;EUR;18 - 24;Male;69;193,829;114.88
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;In-stream video;EUR;25 - 34;Female;69;65,988;242.3
McDonald's McNuggets II July - August 2025 - Bumper;22809289179;In-stream video;EUR;25 - 34;Female;69;162,366;108.25
McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper;23351985054;In-stream video;EUR;25 - 34;Female;69;54,237;98.2
McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper;22530427806;In-stream video;EUR;35 - 44;Female;69;334,233;185.25
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;22099305524;In-stream video;EUR;45 - 54;Female;69;104,321;255.95
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;23051723493;In-stream video;EUR;45 - 54;Male;69;60,700;189.69
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;23062023277;In-stream video;EUR;45 - 54;Male;69;163,551;113.32
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;In-stream video;EUR;45 - 54;Male;69;131,014;383.87
McDonald's McDelivery May - June AO 2025 (YT) - Bumper;22503142066;In-stream video;EUR;18 - 24;Male;68;85,333;81.85
McDonald's McCrispy AO May-Jun 2025 (YT) - CPV;22600968923;In-stream video;EUR;18 - 24;Female;68;76,218;281.93
McDonald's Coffee Monday AO May - Jun 2025 (YT) - CPV;22615794446;In-stream video;EUR;18 - 24;Female;68;55,044;191.04
McDonald's MOP Sep - Nov 2025 (YT) - Bumper;23038275832;In-stream video;EUR;18 - 24;Male;68;103,622;110.96
McDonald's McDelivery Wolt II November 2025 (YT) - Bumper;23246559240;In-stream video;EUR;18 - 24;Male;68;34,348;57.12
McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV;23128434905;In-stream video;EUR;25 - 34;Female;68;76,228;300.82
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;23151653998;In-stream video;EUR;25 - 34;Female;68;69,407;275.38
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;22099305524;In-stream video;EUR;35 - 44;Female;68;119,077;303.68
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;In-stream video;EUR;35 - 44;Male;68;65,587;217.58
McDonald's McNuggets June 2025 - Bumper;22661560940;In-stream video;EUR;35 - 44;Female;68;166,664;117.78
McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV;23128434905;In-stream video;EUR;35 - 44;Female;68;71,230;271.28
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper;23151658453;In-stream video;EUR;35 - 44;Female;68;107,221;143.09
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper;23151276168;In-stream video;EUR;45 - 54;Male;68;200,332;223.45
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;23151653998;In-stream video;EUR;45 - 54;Male;68;68,233;233.4
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - Bumper;23151658453;In-stream video;EUR;45 - 54;Female;68;105,711;143.01
McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper;22710122542;In-stream video;EUR;18 - 24;Female;67;131,776;124.69
McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper;23061447079;In-stream video;EUR;25 - 34;Female;67;307,096;178.8
McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper;23117041842;In-stream video;EUR;25 - 34;Female;67;201,524;155.62
McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;23359818609;In-stream video;EUR;25 - 34;Female;67;80,246;136.42
Nissan QQ June 2025 (DN) - CPM;22641575224;Display;EUR;35 - 44;Female;67;181,166;35.88
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;23062023277;In-stream video;EUR;35 - 44;Male;67;181,440;112.18
McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper;23117041842;In-stream video;EUR;35 - 44;Female;67;214,976;180.87
McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;In-stream video;EUR;35 - 44;Female;67;120,596;397.75
DIS_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22259191387;Display;EUR;18 - 24;Female;66;156,613;21.71
McDonald's McNuggets June 2025 - CPV;22655446491;In-stream video;EUR;18 - 24;Male;66;49,037;152.45
VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;22691380071;In-stream video;EUR;18 - 24;Female;66;81,583;138.16
McDonald's HM Lil McD's July 2025 (YT) - Bumper;22775346894;In-stream video;EUR;18 - 24;Male;66;35,247;52.93
McDonald's MOP Aug - Sep 2025 (YT) - Bumper;22974152623;In-stream video;EUR;18 - 24;Female;66;135,085;106.42
McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;23359818609;In-stream video;EUR;18 - 24;Male;66;37,256;64.06
McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;22099244537;In-stream video;EUR;25 - 34;Female;66;141,178;92.37
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;EUR;25 - 34;Female;66;57,812;221.73
McDonald's Grimace Exclusive June 2025 (YT) - CPV;22623078690;In-stream video;EUR;25 - 34;Male;66;40,123;138.01
McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper;23061447079;In-stream video;EUR;35 - 44;Female;66;298,187;198.52
McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;22200515907;In-stream video;EUR;45 - 54;Male;66;74,814;188.76
McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV;23057401193;In-stream video;EUR;45 - 54;Female;66;113,955;343.86
McDonald's McDelivery July - September 2025 (YT) - CPV;22732857306;In-stream video;EUR;18 - 24;Female;65;70,438;208.18
McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper;23128436618;In-stream video;EUR;35 - 44;Female;65;147,235;139.59
McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV;23000376953;In-stream video;EUR;18 - 24;Female;64;69,937;218.21
McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - CPV;23197204073;In-stream video;EUR;25 - 34;Male;64;28,103;134.95
McDonald's McDelivery May - June AO 2025 (YT) - Bumper;22503142066;In-stream video;EUR;35 - 44;Female;64;111,461;134.06
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;EUR;35 - 44;Female;64;53,393;199.55
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;EUR;45 - 54;Male;64;54,436;177.96
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;EUR;45 - 54;Male;64;52,879;142.65
McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper;23051177880;In-stream video;EUR;45 - 54;Female;64;149,285;162.98
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper;23150230785;In-stream video;EUR;45 - 54;Female;64;188,732;156.68
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper;23230869507;In-stream video;EUR;18 - 24;Female;63;127,622;117.27
McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper;22530427806;In-stream video;EUR;25 - 34;Female;63;386,547;179.26
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;EUR;25 - 34;Female;63;57,828;179.58
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV;23080445477;In-stream video;EUR;25 - 34;Female;63;42,362;153.99
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper;23151276168;In-stream video;EUR;25 - 34;Female;63;198,251;190.37
McDonald's Happy Meal Squiishmallows June 2025 - Bumper;22632870437;In-stream video;EUR;35 - 44;Female;63;98,973;134.56
McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;22574478389;In-stream video;EUR;18 - 24;Male;62;65,893;67.66
McDonald's McNuggets II July - August 2025 - CPV;22818941470;In-stream video;EUR;18 - 24;Female;62;72,996;139.77
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136085091;In-stream video;EUR;18 - 24;Female;62;109,516;102.79
McDonald's Fries December 2025 (YT) - Bumper;23305942254;In-stream video;EUR;18 - 24;Female;62;81,152;106.64
McDonald's McDelivery May - June AO 2025 (YT) - Bumper;22503142066;In-stream video;EUR;25 - 34;Female;62;105,128;118.21
McDonald's Snack Menu AO Oct - Nov 2025 (YT) - CPV;23117039682;In-stream video;EUR;25 - 34;Female;62;63,995;228.36
McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper;22452503269;In-stream video;EUR;35 - 44;Female;62;87,627;106.1
McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;22574478389;In-stream video;EUR;35 - 44;Female;62;79,470;107.37
McDonald's McDelivery AO Nov 2025 (YT) - Bumper;23199593493;In-stream video;EUR;35 - 44;Male;62;101,302;129.6
McDonald's MOP Sep - Nov 2025 (YT) - CPV;23038260706;In-stream video;EUR;45 - 54;Female;62;99,281;291.58
McDonald's MOP Sep - Nov 2025 (YT) - Bumper;23038275832;In-stream video;EUR;45 - 54;Female;62;169,137;183.51
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;In-stream video;EUR;45 - 54;Male;62;133,168;127.17
McDonald's McCrispy AO Aug - Sep 2025 (YT) - CPV;22886402763;In-stream video;EUR;18 - 24;Male;61;57,916;142.68
McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;22574478389;In-stream video;EUR;25 - 34;Female;61;76,934;91.48
McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper;23201466458;In-stream video;EUR;25 - 34;Female;61;128,067;105.85
McDonald's 1+1 January 2025 (YT) - Bumper;22101432671;In-stream video;EUR;45 - 54;Female;61;205,010;127.78
McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;22574478389;In-stream video;EUR;45 - 54;Male;61;96,553;124.4
McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper;23128436618;In-stream video;EUR;45 - 54;Female;61;144,602;144.68
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;22099305524;In-stream video;EUR;18 - 24;Male;60;60,415;138.05
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper;23151276168;In-stream video;EUR;18 - 24;Male;60;110,684;111.71
McDonald's Sirious Winter December 2025 (YT) - Bumper;23344793168;In-stream video;EUR;18 - 24;Female;60;67,390;103.9
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;23330173406;In-stream video;EUR;25 - 34;Female;60;108,349;101.49
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV;23080445477;In-stream video;EUR;35 - 44;Male;60;51,189;170.96
McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;22200515907;In-stream video;EUR;45 - 54;Female;60;68,379;188.73
McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper;22540460607;In-stream video;EUR;45 - 54;Female;60;126,226;146.51
McDonald's McNuggets June 2025 - CPV;22655446491;In-stream video;EUR;45 - 54;Female;60;86,005;304.51
McDonald's Mixology July 2025 (YT) - Bumper;22765251787;In-stream video;EUR;35 - 44;Female;59;115,944;124.5
McDonald's Breakfast AO Sep - Dec 2025 (YT) - CPV;23051178150;In-stream video;EUR;45 - 54;Female;59;113,533;341.11
Elgrad  Feb - Mar 2025 (YT) - CPM;22273119028;In-stream video;EUR;35 - 44;Female;58;78,275;198.88
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper;23150230785;In-stream video;EUR;35 - 44;Female;58;209,012;166.21
McDonald's McNuggets II July - August 2025 - Bumper;22809289179;In-stream video;EUR;45 - 54;Female;58;177,803;132.17
Elgrad GDN Always On 2025 (DN) - CPC;22257842791;Display;EUR;65+;Unknown;58;3,182;5.58
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;22099305524;In-stream video;EUR;18 - 24;Female;57;61,787;158.91
McDonald's Coffee July - September 2025 (YT) - CPV;22733053338;In-stream video;EUR;18 - 24;Male;57;50,821;134.22
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper;23084523094;In-stream video;EUR;25 - 34;Male;57;154,068;101.52
McDonald's Breakfast Mushrooms May 2025 - CPV;22515688781;In-stream video;EUR;45 - 54;Female;57;57,061;217.6
McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper;23051177880;In-stream video;EUR;18 - 24;Female;56;69,056;83.47
McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper;23061820288;In-stream video;EUR;18 - 24;Male;56;70,104;73.15
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;EUR;35 - 44;Female;56;61,676;186.02
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;In-stream video;EUR;35 - 44;Female;56;136,824;416.64
McDonald's McDelivery AO Nov 2025 (YT) - Bumper;23199593493;In-stream video;EUR;45 - 54;Male;56;94,677;124.95
McDonald's Coffee AO Jan - Mar 2025 (YT) - CPV;22083070983;In-stream video;EUR;18 - 24;Female;55;70,705;164.36
McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;22099244537;In-stream video;EUR;18 - 24;Female;55;98,513;66.65
McDonald's McNuggets June 2025 - Bumper;22661560940;In-stream video;EUR;25 - 34;Female;55;177,197;106.84
McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper;23061820288;In-stream video;EUR;25 - 34;Female;55;101,019;111.11
McDonald's McDelivery x Glovo III Dec 2025 (YT) - CPV;23368942255;In-stream video;EUR;25 - 34;Male;55;60,309;216.43
McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper;23351985054;In-stream video;EUR;35 - 44;Female;55;55,084;103.01
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;EUR;45 - 54;Female;55;60,887;176.9
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;23151653998;In-stream video;EUR;45 - 54;Female;55;68,022;244.69
McDonald's Coffee AO Jan - Mar 2025 (YT) - Bumper;22089219752;In-stream video;EUR;18 - 24;Male;54;88,007;45.89
McDonald's McNuggets June 2025 - CPV;22655446491;In-stream video;EUR;18 - 24;Female;54;56,191;195.49
McDonald's Opusteno Dopusteno II August 2025 (YT) - CPV;22895928142;In-stream video;EUR;18 - 24;Female;54;40,205;84.02
McDonald's Snack Menu AO Oct - Nov 2025 (YT) - CPV;23117039682;In-stream video;EUR;35 - 44;Female;54;63,492;208.45
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper;23151276168;In-stream video;EUR;35 - 44;Female;54;189,617;206.16
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - CPV;23062023805;In-stream video;EUR;45 - 54;Female;54;34,088;120.16
McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - Bumper;23074917258;In-stream video;EUR;25 - 34;Female;53;149,592;155.15
McDonald's HM Lil McD's July 2025 (YT) - Bumper;22775346894;In-stream video;EUR;35 - 44;Female;53;64,066;105.05
McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - Bumper;23074917258;In-stream video;EUR;45 - 54;Female;53;186,905;187.91
McDonald's Snack Menu AO Oct - Nov 2025 (YT) - CPV;23117039682;In-stream video;EUR;45 - 54;Male;53;63,299;194.5
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;In-stream video;EUR;45 - 54;Female;53;130,169;383.9
DIS_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22259191387;Display;EUR;18 - 24;Male;52;238,286;33.94
McDonald's Trust II October 2025 (YT) - CPV;23084692750;In-stream video;EUR;18 - 24;Female;52;51,178;161.26
McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;In-stream video;EUR;18 - 24;Male;52;56,460;173.71
McDonald's Mixology July 2025 (YT) - Bumper;22765251787;In-stream video;EUR;25 - 34;Female;52;91,023;92.7
