Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;35 - 44;Male;2,500;806,934;333.48
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;35 - 44;Female;2,307;191,515;72.77
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;25 - 34;Male;2,229;867,885;2030.3
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;35 - 44;Female;2,205;128,887;174.53
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;35 - 44;Female;2,155;1,821,570;1913.61
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;45 - 54;Male;2,046;2,531,213;690.96
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;25 - 34;Female;1,937;204,041;229.35
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;35 - 44;Female;1,885;473,237;236.99
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;45 - 54;Female;1,885;2,089,001;605.52
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;25 - 34;Female;1,839;1,192,860;1268.16
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;35 - 44;Male;1,659;723,914;1659.2
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;EUR;35 - 44;Male;1,496;111,599;92.6
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;55 - 64;Male;1,412;2,163,106;565.42
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;55 - 64;Female;1,360;1,109,084;380.13
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;35 - 44;Male;1,354;98,561;109.27
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;35 - 44;Female;1,340;577,396;1309.42
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;25 - 34;Female;1,166;446,507;1019.99
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;45 - 54;Male;1,163;618,579;1394.52
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;35 - 44;Male;1,097;1,040,893;236.48
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;45 - 54;Male;1,094;2,016,510;578.85
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;45 - 54;Female;1,066;1,498,505;430.22
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;25 - 34;Male;1,047;511,990;788.4
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;45 - 54;Male;1,042;1,440,439;313.73
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;55 - 64;Female;1,014;278,887;384.09
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;25 - 34;Female;999;1,066,502;207.56
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;55 - 64;Male;967;356,210;513.83
Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;EUR;45 - 54;Female;940;477,955;1085.73
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;35 - 44;Male;853;473,643;740.75
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;35 - 44;Male;799;1,222,891;346.02
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;45 - 54;Male;782;437,848;674.06
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;25 - 34;Male;762;670,060;587.43
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;35 - 44;Male;738;877,058;934.13
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;In-stream video;EUR;35 - 44;Female;718;490,606;1892.71
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;55 - 64;Female;711;258,972;548.48
