Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Cupra Formentor PHEV II - May 2025 (DG) - CPC;22536061637;7.5;438,113
Škoda Kodiaq May-Jun 2025 (YT) - CPM;22559093276;3.4;892,791
Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC;22359572836;4.9;360,626
Škoda Superb May-Jun 2025 (YT) - CPM;22553114580;3.4;899,073
Seat Ulje Apr - May  2025 (PMAX) - CPA;22379138871;;
Seat Gume Mar - Apr 2025 (DG) - CPC;22371337385;3.8;287,460
Volkswagen Tayron - April/May 2025 (PMAX) - CPA;22421702528;;
Škoda Gume Mar - Apr 2025 (PMAX) - CPA;22354172118;;
Škoda Gume Mar - Apr 2025 (DG) - CPC;22364219038;4.7;474,405
Energycom Jan - Dec 2026 - Performance Max;22153504496;;
Volkswagen Transporter Apr-May 2025 (DN) - CPC;22408558319;4.1;650,990
Škoda Kodiaq May-Jun 2025 (DG) - CPC;22562758033;6.6;331,266
Volkswagen Tayron - April/May 2025 (YT) - Reach Mix - CPM;22415374749;3.8;1,134,499
Seat Metlice Apr - May 2025 (DG) - CPC;22379011626;3.9;301,409
Škoda Elroq Apr - May 2025 (DG) - CPC;22470193148;5.8;647,641
Energycom New Creatives Jun - Jul 2025 (DN) - CPC;22650248377;2.6;168,012
Škoda Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22391002215;;
Škoda Superb May-Jun 2025 (DG) - CPC;22553033214;6.9;351,270
Seat Metlice Apr - May 2025 (PMAX) - CPA;22389011644;;
Seat Gume Mar - Apr 2025 (PMAX) - CPA;22375110178;;
Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;22719192229;2.8;224,986
Cupra Formentor PHEV - May - Jun 2025 (PMAX) - CPA;22596409384;;
Volkswagen Tayron - April/May 2025 (DG) - CPC;22414635975;11.3;657,203
Škoda Elroq Apr - May 2025 (YT) - Reach Mix - CPM;22470418028;4.5;1,423,799
Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;22718937352;1.4;272,401
Energycom Jan - Feb 2025 (DN) - CPC;22153504697;3.8;642,130
Energycom New Creatives Jun - Jul 2025 - Performance Max;22646649812;;
Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC;22425339566;5.7;398,504
Volkswagen Gume Mar - Apr 2025 (PMAX) - CPA;22364219464;;
202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//Bumper;22489976397;3.2;765,168
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Bumper;22594603356;2.1;292,394
202501//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Bumper;22088715767;1.4;221,604
202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//TrueView;22629454076;2.2;526,883
202501//Syoss Color//SK Color Oleo Intense 2024//SK Color Oleo Intense 2024//video//Bumper;22142591754;1.5;317,561
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Trueview;22594564050;2.1;318,356
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper;22632678660;2.5;646,004
202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Bumper;22533691090;2.9;744,888
202502//Ceresit //Gratis//Rovinj;22440875162;5.3;87,479
