Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight;22401215921;8.4;94,123
Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC;22973235801;5.1;591,030
Kaufland - Impuls - Online leaflets - Back to school - Aug-Sep 2025 (DN) - CPC;22942079495;4.1;468,434
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Polish language;22609067019;13.2;180,644
Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;4.4;466,671
Kaufland - Stranci - Hindi - Jul 2025 (DN) - CPM;22783135600;9.8;79,618
Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DN) - CPM;22935327806;6.6;170,925
202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54;22614852371;2.1;751,463
Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM;22942514632;3.8;1,127,128
Kaufland - Image - Impuls - FIMA - Split - Ravne njive - Jun-Jul 2025 (DN) - CPC;22719312160;3.6;93,242
Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC;22939420753;2;60,835
Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC;23055092044;1.9;6,216
Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;8.2;678,140
Kaufland - Impuls - Kaufland Card - Blue Tuesday - July 2025 (DN) - CPC;22832422795;4.7;325,830
Dr. Oetker Baguette September 2025 (DN) - CPC;22987364054;2.7;375,230
DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689604765;11.3;322,961
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22660872715;2.3;1,111,562
DG_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22514311083;1.9;59,261
VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22737245028;4.5;2,710,957
Dr. Oetker Turisti Jul - Aug 2025 (DN) - CPC;22774059526;3.7;684,248
Borotalco Men Aug - Sep 2025 (CPV) - VVC;22919079036;3.7;554,630
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;22686031805;4.6;656,675
VID_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22514313036;1.3;100,874
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_05.09.-15.10.;22986885344;;
PMAX_OMD_SI-SL_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22854651094;;
Borotalco Pure June 2025 (Bumper);22711295453;2.3;1,035,204
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22657308689;;
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;22680238722;;
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;22986865838;1.8;551,773
VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;2.5;410,046
PMAX_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034203750;;
DG_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22514381406;1.6;140,271
VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034204641;2;149,227
DG_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23028088734;4;249,529
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;22986865835;3.1;306,807
DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23038253197;4.6;73,534
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;3.2;1,610,308
VID_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22524433186;1.5;443,372
Dr. Oetker Doručkujmo zajedno Aug - Sep 2025 (DN) - CPC;22942585570;2.9;427,397
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22857655199;;
VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;1.6;583,063
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22651133247;5.2;404,937
PMAX_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;22524434296;;
Borotalco Men Aug - Sep 2025 (CPM) - Bumper;22928971609;2.4;792,454
PMAX_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23028088689;;
Borotalco Pure June 2025 (CPV);22714966255;5.9;919,833
VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22747183861;2.9;532,053
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.;22980662127;2;241,823
JGL Muzej farmacije TUR Jul - Aug 2025 (DN) - CPC;22735542698;2.2;1,057
Awareness_CPM_Croatia_GoogleAds_Hidra_EquityI-GDN-April-July2025;22429120937;2.5;421,903
fungilac_march_2025_youtube_fc_cpm;22397772365;3.8;311,343
lactogyn_june_2025_youtube_cpm;22797176144;1;117
JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC;22738852523;3.2;239,087
lactogyn_june_2025_youtube_fc_cpm;22791527244;6.8;593,731
DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;23025722586;7.1;99,268
Rio Mare Sicily August 2025 (YT) - CPM;22857496712;3.3;1,361,956
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22983748780;3.2;772,776
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689449956;;
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;23035809352;1.9;315,802
fungilac_march_2025_display_cpm;22391274867;6.1;683,421
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.;22980662139;4.1;135,573
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;22725272300;2.4;810,385
JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC;22738795586;2.7;182,172
VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;22514122692;1.3;154,201
UHU BTS Aug - Sep 2025 (DN) - CPM;22917978217;38.8;287,485
PMAX_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;23031771971;;
lactogyn_june_2025_display_cpm;22791210171;11.7;1,277,504
JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC;22729381812;1.8;1,988
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea;23035354024;;
DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;22514121090;2.1;156,824
Traffic_CPC_Croatia_GoogleAds_Hidra_NCP-Campaign-June-August-2025;22689317509;4.7;1,009,645
