Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Belupo Rinil - December 2025 - (YT) - CPM;23368964821;2.4;698,957
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;2.5;259,972
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;2.5;267,879
Saponia Faks Sve ti je čisto Nov 2025 (DN) - CPM;23203387614;12.8;1,495,232
Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR;23063936142;3.8;766,269
SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL;23018167917;5.7;452,009
202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview;22800836042;3.2;737,477
202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper;22794974865;2.6;874,266
202510//Ceresit STOP//Local Brand Support Rubson Healthy Home 2023 (FR)//Local Brand Support Healthy Home 2023;23120362515;3.6;780,121
Demand_Gen_DishCare_Dishwashers_2025_Finish_HR;23069848067;6.7;808,817
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;2.6;834,559
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;10.5;730,317
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;2.4;224,090
Bison AirMax November 2025 (DN) - CPM;23224382309;8.8;1,250,330
Bison AirMax November 2025 (YT) - CPM;23219213253;2.8;1,087,243
Bison Bolton - October 2025 (DN) - CPM;23073658040;5;317,169
Bison Bolton - October 2025 (YT) - Bumper;23077707730;4;995,313
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;23277766543;16.4;1,818,521
Porsche Pia Nov 2025 (DG) - CPC;23218773990;8.3;688,941
Porsche Pia Nov 2025 (PMAX) - CPA;23218775703;;
Porsche Pia Oct 2025 (PMAX) - CPA;23086685202;;
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;3.2;497,669
Porsche Pia Oct 2025 (DN) - CPC;23091799676;4.1;728,154
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;4;663,723
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;4.2;1,162,097
Porsche Pia Oct 2025 (DG) - CPC;23086499715;8;724,303
Seat Metlice Oct - Dec 2025 (DG) - CPC;23151051484;3.1;504,021
Cupra Terramar Oct 2025 (YT) - Efficient reach;23155724081;4.1;1,169,711
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;22623626124;4.2;719,034
Volkswagen Gume Oct - Dec 2025 (DG) - CPC;23160958240;6.2;839,722
Seat Akumulator Nov - Dec 2025 (PMAX) - CPA;23231650448;;
Škoda Metlice Oct - Dec 2025 (DG) - CPC;23156094650;3.2;241,741
Škoda Octavia Dec 2025 (YT) - Efficient Reach - CPM;23358399088;2.8;816,048
Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;23005360310;2;484,698
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;22623704862;3.5;965,279
Škoda Gume Oct - Dec 2025 (PMAX) - CPA;23156041838;;
Volkswagen Gume Oct - Dec 2025 (PMAX) - CPA;23161140631;;
Seat Gume Oct - Dec 2025 (PMAX) - CPA;23151243997;;
Seat Akumulator Nov - Dec 2025 (DG) - CPC;23231650544;5.6;324,127
Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC;23177785397;5;651,008
Škoda Metlice Oct - Dec 2025 (PMAX) - CPA;23160594388;;
Seat Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;23172967626;;
Škoda Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;23196338093;;
Volkswagen PHEV Sep - Oct 2025 (PMAX) - CPA;23005255190;;
Cupra Terramar Oct 2025 (DN) - CPM;23160674803;6.7;979,243
Volkswagen Metlice Oct - Dec 2025 (PMAX) - CPA;23161207339;;
Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC;23196329174;4.7;835,065
Škoda Gume Oct - Dec 2025 (DG) - CPC;23155974167;6.2;581,624
Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC;23242081674;5.4;630,987
Volkswagen Metlice Oct - Dec 2025 (DG) - CPC;23156738063;4.1;527,399
Energycom Jan - Dec 2026 - Performance Max;22153504496;;
Seat Metlice Oct - Dec 2025 (PMAX) - CPA;23146691471;;
Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;22999073400;7.7;467,105
Škoda Akumulator Nov - Dec 2025 (DG) - CPC;23242272630;4.6;516,662
Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC;23200358572;5.1;962,113
Škoda 130 godina Nov - Dec 2025 (GDN) - CPC;23240403490;4.6;730,293
Volkswagen Zupčasti remen Oct - Dec 2025 (PMAX) - CPA;23190909996;;
Škoda Akumulator Nov - Dec 2025 (PMAX) - CPA;23247325415;;
Volkswagen Akumulator Nov - Dec 2025 (PMAX) - CPA;23247133613;;
Cupra Range Dec 2025 (GDN) - CPM;23386389997;8.6;572,669
Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM;23236016321;3.9;1,029,381
Cupra BEV - Poticaji - Oct 2025 (DN) - CPC;23074947492;2.7;180,578
Seat Gume Oct - Dec 2025 (DG) - CPC;23141475096;5.7;477,995
PMAX_OMD_SI-SL_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom 20.09.-10.11.2025.;23155482644;;
PMAX_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAX_20.10.-31.12.2025.;23172774658;;
DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23038253197;2.2;73,024
DIS_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_GDN_14.11.-31.12.2025.;23283992777;5.6;282,688
VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130385353;4.4;1,397,287
Hervis Poklon Kartice December 2025 - (DN) - CPM;23357588354;6.2;918,123
DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.10-15.12.2025.;23142265184;2.2;107,708
VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136133814;5.8;427,518
VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;3.7;231,367
VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23168273492;3.8;486,881
DIS_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_GDN_20.10.-31.12.2025.;23168583044;4.4;213,821
Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;23304217610;2.8;726,345
DG_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.;23279014023;2.1;38,064
DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23140250137;2;125,976
VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577731;4.1;852,561
DIS_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_GDN_1.11.-12.12.2025.;23200040769;8.8;501,426
PMAX_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23028088689;;
DIS_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_GDN_20.10.-31.12.2025.;23163170868;3.7;501,030
PMAX_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAx_20.10.-31.12.2025.;23163083466;;
DIS_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23074322560;14.6;329,134
VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034204641;3.4;330,504
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23140032403;;
DIS_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_GDN_14.11.-31.12.2025.;23288353174;5.1;423,927
DG_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.;23232232446;4.4;77,175
DG_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23163237003;2;19,274
PMAX_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_PMAX_Parents_1.11.-12.12.2025.;23209534063;;
DG_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070221480;6.7;208,391
DG_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.;23279038791;2.3;57,227
VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;23209598329;6.1;101,879
PMAX_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23140199437;;
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;1.3;790,415
VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070220712;3.9;527,543
VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;23155285862;2.7;994,017
DG_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23168364167;1.7;63,940
PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea;23210024144;;
VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;2.5;1,145,664
PMAX_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23279087904;;
DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23140032196;1.9;94,731
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_15.10-15.12.2025.;23142979085;;
VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283992828;4.1;447,119
PMAX_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.10-15.12.2025.;23136950325;;
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;22986865838;1.4;451,741
Dr. Oetker Bread Club October 2025 (DN) - CPC;23084507224;3.7;229,326
VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23232282903;3.2;299,190
