Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
fungilac_march_2025_youtube_fc_cpm;JGL Croatia EUR;22397772365;311,343;3.8
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;McDonald's EUR;23051723493;29,372;1.2
McDonald's Stripsi June - July 2025 (YT) - CPV;McDonald's EUR;22739124367;4,244,029;1
McDonald's McCrispy July 2025 (YT) - CPV;McDonald's EUR;22738912700;483,314;1.9
McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV;McDonald's EUR;23000376953;412,490;2.1
McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV;McDonald's EUR;22982571265;304,160;2
McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV;McDonald's EUR;22872439121;154,348;1.5
JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC;JGL Croatia EUR;22738852523;239,087;3.2
McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper;McDonald's EUR;23051177880;30,148;1.1
McDonald's MOP Sep - Nov 2025 (YT) - CPV;McDonald's EUR;23038260706;127,722;1.5
lactogyn_june_2025_youtube_fc_cpm;JGL Croatia EUR;22791527244;593,731;6.8
lactogyn_june_2025_youtube_cpm;JGL Croatia EUR;22797176144;117;1
McDonald's McNuggets II July - August 2025 - Bumper;McDonald's EUR;22809289179;808,678;2
McDonald's McDelivery July - September 2025 (YT) - CPV;McDonald's EUR;22732857306;548,562;2.3
McDonald's Mixology July 2025 (YT) - CPV;McDonald's EUR;22761591506;301,148;1.6
McDonald's Mixology July 2025 (YT) - Bumper;McDonald's EUR;22765251787;570,151;1.5
McDonald's IceCoffe June - August 2025 (YT) - CPV;McDonald's EUR;22738910359;5,137,000;1
McDonald's MOP Aug - Sep 2025 (YT) - CPV;McDonald's EUR;22969983779;443,069;2.2
McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV;McDonald's EUR;22921320684;496,676;2.4
McDonald's Maestro III June-August 2025 (YT) - Bumper;McDonald's EUR;22738160776;1,181,568;2.6
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Hrvatska EUR;22983748780;772,776;3.2
Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV;Zott EUR;23005394785;224,498;2.5
McDonald's Grimace May - July 2025 (YT) - CPV;McDonald's EUR;22728306162;457,169;2.9
McDonald's Employer Image IV Sep - Nov 2025 (Performance Max) AO - CPA;McDonald's EUR;23019979679;;
McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper;McDonald's EUR;22866665976;234,649;1.2
McDonald's Coffee July - September 2025 (YT) - CPV;McDonald's EUR;22733053338;451,914;2.3
McDonald's MOP Aug - Sep 2025 (YT) - Bumper;McDonald's EUR;22974152623;1,035,246;2.6
