Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
Saponia Ornel CRO Feb 2025 (DN) - CPM;Saponia;22262517732;205,817;5.7
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22131389199;588,674;2.8
Energycom March 2025 (YT) - Reach Mix 2.0;ENERGYCOM D.O.O.;22296132423;1,039,111;3.2
Seat Gume Mar - Apr 2025 (PMAX) - CPA;Porsche Seat 2023;22375110178;;
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22082603646;495,058;2.1
YT-Cupra-Terramar_2025-view's-13012025-22012025;Porsche Cupra 2023;22113707264;201,489;2.9
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22088751497;450,594;2.1
Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC;Porsche Cupra 2023;22359572836;375,118;4.9
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339783192;326,943;1.4
GDN-Cupra-Terramar_2025-traffic-13012025-31012025;Porsche Cupra 2023;22117372783;789,186;7.3
YT-Cupra-Terramar_2025-view's-23012025-31012025 Formentor;Porsche Cupra 2023;22107432864;201,865;2.6
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22137629441;593,497;3.2
Energycom Jan - Feb 2025 (DN) - CPC;ENERGYCOM D.O.O.;22153504697;776,845;4.8
Cupra Formentor PHEV - Mar-Apr 2025 (PMAX) - CPA;Porsche Cupra 2023;22359900703;;
Seat Gume Mar - Apr 2025 (DG) - CPC;Porsche Seat 2023;22371337385;196,021;2.9
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339790134;286,261;1.4
Energycom Jan - Dec 2026 - Performance Max;ENERGYCOM D.O.O.;22153504496;;
Škoda Gume Mar - Apr 2025 (PMAX) - CPA;Porsche Škoda 2023;22354172118;;
Volkswagen Gume Mar - Apr 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;22364219464;;
