Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;Porsche Osobna Vozila;22435818886;1,025,432;3.7
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;Porsche Osobna Vozila;22439026956;813,760;6.1
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;Porsche Osobna Vozila;22480010801;597,818;5.5
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;HR_EUCERIN_Google Ads_OMD_Video;22310055769;297,307;1.7
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;HR_EUCERIN_Google Ads_OMD_Video;22309957333;208,439;2.6
Loacker Apr - May 2025 (YT) - VVC - CPV;Loacker EUR;22460487259;227,622;2.3
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22457057426;770,617;2.5
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22082603646;194,203;1.4
Energycom New Creatives Jun - Jul 2025 - Performance Max;ENERGYCOM D.O.O.;22646649812;;
Cupra Formentor PHEV II - May 2025 (PMAX) - CPA;Porsche Cupra 2023;22539651838;;
Seat Metlice Apr - May 2025 (DG) - CPC;Porsche Seat 2023;22379011626;301,409;3.9
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22137629441;211,555;1.7
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22131389199;207,663;1.6
Cupra Formentor PHEV II - May 2025 (DG) - CPC;Porsche Cupra 2023;22536061637;438,113;7.5
Seat Ulje Apr - May 2025 (DG) - CPC;Porsche Seat 2023;22379063754;259,669;4.7
Energycom New Creatives Jun - Jul 2025 (DN) - CPC;ENERGYCOM D.O.O.;22650248377;168,012;2.6
Seat Gume Mar - Apr 2025 (PMAX) - CPA;Porsche Seat 2023;22375110178;;
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623704862;441,840;2.5
Cupra Formentor PHEV - May - Jun 2025 (YT) - CPM;Porsche Cupra 2023;22596525244;1,192,224;3.3
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;CEE//HR//L//HDD Value for Money//Mileage//Weisser Riese;22623626124;512,530;2.3
Cupra Formentor PHEV - May - Jun 2025 (DG) - CPC;Porsche Cupra 2023;22586352378;827,268;7.5
Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC;Porsche Cupra 2023;22359572836;360,626;4.9
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339783192;787,770;3.3
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Trueview;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22540518399;604,267;3.1
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22088751497;181,031;1.5
Energycom Jan - Dec 2026 - Performance Max;ENERGYCOM D.O.O.;22153504496;;
Cupra Formentor PHEV - May - Jun 2025 (PMAX) - CPA;Porsche Cupra 2023;22596409384;;
Energycom Jan - Feb 2025 (DN) - CPC;ENERGYCOM D.O.O.;22153504697;642,130;3.8
Seat Metlice Apr - May 2025 (PMAX) - CPA;Porsche Seat 2023;22389011644;;
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;CEE//HR//B//Hair Styling//Taft Spray&Mousse//Taft Spray&Mousse;22339790134;812,108;2.8
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Bumper;CEE//HR//B//Hair Colorants//Palette ICC//Palette ICC;22540555902;517,186;3.5
Seat Ulje Apr - May  2025 (PMAX) - CPA;Porsche Seat 2023;22379138871;;
Seat Gume Mar - Apr 2025 (DG) - CPC;Porsche Seat 2023;22371337385;287,460;3.8
Cupra Formentor PHEV - Mar-Apr 2025 (PMAX) - CPA;Porsche Cupra 2023;22359900703;;
LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA;Barilla_Youtube_EUR_OMDHR;22309984514;427,057;2.1
Borotalco Pure June 2025 (Bumper);Borotalco EUR;22711295453;234,002;1.2
UHU Super Glue Control April 2025 (YT) - Bumper - CPM;UHU EUR;22424964895;1,012,957;4.3
Borotalco Pure June 2025 (CPV);Borotalco EUR;22714966255;234,670;2
Rio Mare Filodolio May - Jun 2025 (YT) - CPV;Rio Mare EUR;22524793110;686,410;5.1
Rio Mare For Oceans Jun 2025 (YT) - CPV;Rio Mare EUR;22629192638;593,275;2.6
Rio Mare For Oceans Jun 2025 (YT) - Bumper;Rio Mare EUR;22623027750;666,161;2.1
Rio Mare Insalatissime Apr - May 2025 (YT) - CPM;Rio Mare EUR;22422142785;772,745;3.4
LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview;Barilla_Youtube_EUR_OMDHR;22183805418;601,595;4.3
Elgrad GDN Always On 2025 (DN) - CPC;Elgrad Austria EUR;22257842791;538,548;7.3
202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview;CEE//HR//L//SPD//Expressive Clothes//Perwoll;22658175089;762,177;2.7
GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;21975804918;452,838;5.7
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Other languages;Kaufland_Display_HR;22609066737;503,185;9.3
Kaufland - Image - Impuls - Gaming - Minecraft - Apr 2025 (DN) - CPM;Kaufland_Display_HR;22409208617;662,608;7.8
Kaufland - Mini Jobs - May 2025 (DN) - CPM;Kaufland_Display_HR;22540720006;323,361;14.4
Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;22401215921;201,624;10.3
202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Trueview;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22332695936;816,159;3.8
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Biograd - May-Jun 2025 (DN) - CPM;Kaufland_Display_HR;22588026601;172,905;7.7
202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22614852371;607,829;2.1
Kaufland - Uskrs - Online katalog - Igračke - Apr 2025 (DN) - CPC;Kaufland_Display_HR;22394409546;396,310;4.1
Kaufland - Impuls - Kaufland Card - Nagradna igra - Jun 2025 (DN) - CPC;Kaufland_Display_HR;22634269397;629,267;4.3
Kaufland - K-Card Easter - Uskrs - Mar-Apr 2025 (DN) - CPC;Kaufland_Display_HR;22349140680;118,932;3
202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22608337149;397,737;1.8
XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;22562643721;483,136;3.4
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Slovenian language;Kaufland_Display_HR;22609067442;63,010;9.4
202502//Ceresit //Gratis//Rovinj;CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;22440875162;87,479;5.3
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Italian language;Kaufland_Display_HR;22615379438;44,457;9.2
Kaufland - Impuls - Kaufland Card - Blue Tuesday - May 2025 (DN) - CPC;Kaufland_Display_HR;22592469500;351,925;4.2
202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Bumper;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22326129339;1,004,378;3.6
Kaufland GDN Godišnja 2026 (DN);Kaufland_Display_HR;19354219109;1,283,873;12
