Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
vizols_october_2025_youtube_cpm;JGL Croatia EUR;23121024417;957,851;5.3
VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips Hrvatska EUR;23283807728;710,506;3.5
PMAX_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips Hrvatska EUR;23130284850;;
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.;Philips Hrvatska EUR;23142265886;216,135;2.3
McDonald's McDelivery AO Nov 2025 (YT) - Bumper;McDonald's EUR;23199593493;443,857;1.6
VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025;Philips Hrvatska EUR;23237552771;490,211;3.3
prolife_november_2025_display_cpm;JGL Croatia EUR;23253168887;1,360,148;8.8
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;Philips Hrvatska EUR;22850295323;;
McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - CPV;McDonald's EUR;23084947105;444,972;2.7
Nissan QQ Sep - Oct 2025 (DN) - CPM;Nissan Hrvatska EUR;23027683820;1,000,481;6.6
PMAX_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;Philips Hrvatska EUR;23031771971;;
McDonald's McDelivery Wolt II November 2025 (YT) - CPV;McDonald's EUR;23246559597;169,343;2.3
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper;McDonald's EUR;23084523094;483,659;1.9
DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;Philips Hrvatska EUR;23168792639;171,810;2.9
McDonald's Adventski kalendar December 2025 (YT) - CPV;McDonald's EUR;23310621005;454,796;2.5
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV;McDonald's EUR;23080445477;211,357;1.9
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.;Philips Hrvatska EUR;22980662127;194,941;1.6
McDonald's Snack Menu AO III December 2025 (YT) - CPV;McDonald's EUR;23334197017;260,044;1.8
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;McDonald's EUR;23330173406;520,978;2
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;McDonald's EUR;23051723493;263,848;1.9
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.;Philips Hrvatska EUR;23136999027;;
