Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.	22980662127	1.5	133,037
In-feed	McDonald's MOP Aug - Sep 2025 (YT) - Bumper	22974152623	1.7	621,818
Bumper	McDonald's MOP Aug - Sep 2025 (YT) - Bumper	22974152623	2.1	769,688
In-feed	McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper	22972236465	1.6	451,762
Bumper	McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper	22972236465	1.8	485,141
Skippable in-stream	McDonald's MOP Aug - Sep 2025 (YT) - CPV	22969983779	2.2	443,069
Skippable in-stream	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	3.9	407,402
In-feed	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	2	57,788
Shorts	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	1.1	327
Skippable in-stream	McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV	22931314702	3.1	298,420
Shorts	McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV	22931314702	2.4	79,583
Skippable in-stream	McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV	22921320684	2.4	496,676
Skippable in-stream	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	3.1	84,537
In-feed	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	5.8	629,099
Shorts	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	4.8	72,560
In-feed	McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper	22895981650	1.5	548,148
Bumper	McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper	22895981650	2	714,267
Skippable in-stream	McDonald's Opusteno Dopusteno II August 2025 (YT) - CPV	22895928142	2.4	489,126
In-feed	McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper	22892098685	2.1	686,434
