Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Skippable in-stream	T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI	22928895972	2	455,191
Skippable in-stream	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	2	439,375
Bumper	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	2.1	534,959
Shorts	T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI	22911143511	4.4	277,568
Skippable in-stream	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	2	414,519
Bumper	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	2.6	620,670
Shorts	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI	22876405666	5.7	275,942
Skippable in-stream	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	1.8	262,344
Bumper	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	2.3	388,037
Shorts	T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI	22867060452	3.4	284,004
Non-skippable in-stream	202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview	22800836042	2.9	859,872
