Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Skippable in-stream	Borotalco Pure June 2025 (CPV)	22714966255	1.8	204,463
In-feed	Borotalco Pure June 2025 (CPV)	22714966255	1.9	55,507
Bumper	Borotalco Pure June 2025 (Bumper)	22711295453	1.2	234,002
Skippable in-stream	Rio Mare For Oceans Jun 2025 (YT) - CPV	22629192638	2.5	560,612
In-feed	Rio Mare For Oceans Jun 2025 (YT) - CPV	22629192638	1.5	78,317
Bumper	Rio Mare For Oceans Jun 2025 (YT) - Bumper	22623027750	2.1	666,161
Skippable in-stream	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	4.4	614,127
In-feed	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	3	242,536
Shorts	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	1.8	21,983
Bumper	UHU Super Glue Control April 2025 (YT) - Bumper - CPM	22424964895	4	977,589
Shorts	UHU Super Glue Control April 2025 (YT) - Bumper - CPM	22424964895	2.3	216,422
Skippable in-stream	Rio Mare Insalatissime Apr - May 2025 (YT) - CPM	22422142785	2.7	609,016
Shorts	Rio Mare Insalatissime Apr - May 2025 (YT) - CPM	22422142785	2.8	362,409
Skippable in-stream	Dr. Oetker Easter Apr 2025 (YT) - CPV	22408653275	2.4	425,867
Shorts	Dr. Oetker Easter Apr 2025 (YT) - CPV	22408653275	2	40,183
Skippable in-stream	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	1.1	64,214
Bumper	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	1.2	152,121
Shorts	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	1.2	142,451
Skippable in-stream	LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA	22339069891	2.7	558,813
In-feed	LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA	22339069891	2	200,483
Skippable in-stream	LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA	22309984514	1.8	324,851
In-feed	LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA	22309984514	1.7	179,805
Skippable in-stream	LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA	22222166343	2.4	386,131
In-feed	LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA	22222166343	2.7	247,133
Skippable in-stream	LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview	22183805418	2.9	411,710
In-feed	LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview	22183805418	3.7	370,857
Skippable in-stream	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	1.1	2,784
Bumper	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	1.6	216,233
Shorts	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	1.9	155,906
Bumper	Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM	22579539314	2.9	1,045,776
Skippable in-stream	Saponia Nila May 2025 (YT) - CPM	22500191490	2.4	606,262
In-feed	Saponia Nila May 2025 (YT) - CPM	22500191490	1.6	347,169
Shorts	Saponia Nila May 2025 (YT) - CPM	22500191490	2.5	197,978
Skippable in-stream	Loacker Apr - May 2025 (YT) - VVC - CPV	22460487259	2.3	227,622
Skippable in-stream	Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM	22457057426	1.5	189,809
In-feed	Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM	22457057426	1.4	248,773
Bumper	Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM	22457057426	1.8	403,955
Shorts	Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM	22457057426	2.1	293,122
Non-skippable in-stream	Saponia Faks penta cups - Apr - Jun 2025 (YT) - CPM	22434562305	3.8	850,379
Skippable in-stream	Saponia Likvi CRO Apr - May 2025 (YT) - CPM	22396650401	4.4	1,144,920
In-feed	Saponia Likvi CRO Apr - May 2025 (YT) - CPM	22396650401	2.3	297,804
Shorts	Saponia Likvi CRO Apr - May 2025 (YT) - CPM	22396650401	3.6	379,530
Bumper	T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na	22310055769	1.7	297,307
Skippable in-stream	T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na	22309957333	2.6	208,439
In-feed	Demand Gen Croatia KeyVisuals	22701938524	3.5	432,604
Shorts	Demand Gen Croatia KeyVisuals	22701938524	2.4	46,008
In-feed	Demand Gen Croatia Webshop	22701594931	3.2	480,744
Shorts	Demand Gen Croatia Webshop	22701594931	3.1	77,017
Skippable in-stream	Philips_Mison_KeyVisual_YouTube_June_2025	22633149994	1.5	205,173
In-feed	Philips_Mison_KeyVisual_YouTube_June_2025	22633149994	1.8	248,052
Bumper	Philips_Mison_KeyVisual_YouTube_June_2025	22633149994	1.6	470,261
Shorts	Philips_Mison_KeyVisual_YouTube_June_2025	22633149994	2.3	291,670
In-feed	Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC	22480010801	5	579,838
Shorts	Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC	22480010801	6.3	64,630
Skippable in-stream	Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix	22435818886	1.8	291,181
In-feed	Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix	22435818886	1.8	456,005
Bumper	Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix	22435818886	2.3	651,479
Shorts	Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix	22435818886	3	325,336
Skippable in-stream	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	2.5	311,788
Shorts	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	2.2	339,291
Bumper	202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54	22614852371	2.1	607,829
Non-skippable in-stream	202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54	22608337149	1.8	397,737
In-feed	DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders	22586653620	2.4	161,445
Shorts	DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders	22586653620	2.5	47,903
Skippable in-stream	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	2.9	803,966
In-feed	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	1.5	23,964
Shorts	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	1.4	15,090
In-feed	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	4	475,678
Shorts	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	6.8	139,118
Skippable in-stream	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	2.7	260,820
In-feed	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	2.5	300,074
Shorts	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	3.1	66,821
In-feed	Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425388022	4.6	251,285
Shorts	Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425388022	5.2	66,689
Skippable in-stream	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	6.5	358,698
In-feed	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	2.3	299,511
Shorts	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	4.3	75,432
Shorts	Kaufland - Image - Impuls - Gaming - Minecraft - Apr 2025 (YT) - Shorts - CPM	22402632129	5.5	139,529
Skippable in-stream	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	3.7	75,690
In-feed	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	8.2	196,270
Shorts	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	5.7	32,021
Skippable in-stream	Kaufland - Image - Uskrs - Apr 2025 (YT) - CPV	22400857562	2	341,470
In-feed	Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC	22400779105	3.8	283,003
Shorts	Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC	22400779105	3.7	42,625
In-feed	Audi Gume Mar - Apr 2025 (DG) - CPC	22365090942	3.4	227,361
Shorts	Audi Gume Mar - Apr 2025 (DG) - CPC	22365090942	3.7	29,389
In-feed	Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR	22339789598	5.8	705,821
Shorts	Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR	22339789598	7.2	113,277
Bumper	202503//Got2b_STY Glued Off LX 25_Bumper_16x9_6s_GluedTinted_Styling&ColorB&E_241126asv01FL2D_Global_V1//6sec//CPM//W18-34	22306607992	2.9	501,651
Non-skippable in-stream	202503//Got2b_STY Glued Off LX 25_OLV_16x9_15s_GluedTinted_Styling&ColorB&E_241122asv04FL2D_Global_V1//15sec//CPM//W18-34	22296206877	2.7	391,054
In-feed	GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR	21975804918	4.6	432,251
Shorts	GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR	21975804918	8.4	72,691
In-feed	SLO - Lonci&Poklopci - Feb 2024 (Discovery) - CPA	20878469968	2.5	75,617
Shorts	SLO - Lonci&Poklopci - Feb 2024 (Discovery) - CPA	20878469968	2.9	11,534
In-feed	HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO	22693786294	5.6	836,443
In-feed	HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH	22689917264	4.9	753,095
In-feed	HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH	22666305736	5.3	794,974
Shorts	HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH	22666305736	1	511
Skippable in-stream	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	2	383,688
In-feed	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	1.8	712,367
Bumper	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	2.4	764,673
Shorts	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	2.5	481,167
Bumper	202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Bumper	22540555902	3.5	517,186
Non-skippable in-stream	202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Trueview	22540518399	3.1	604,267
In-feed	HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO	22509740775	4	455,591
Shorts	HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO	22509740775	5.9	48,587
Non-skippable in-stream	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview	22339790134	2.8	812,108
Bumper	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper	22339783192	3.3	787,770
