Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Non-skippable in-stream	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview	22339790134	1.4	286,261
Bumper	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper	22339783192	1.4	326,943
Non-skippable in-stream	202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview	22137629441	3.2	593,497
Bumper	202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper	22131389199	2.8	588,674
Bumper	202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper	22088751497	2.1	450,594
Non-skippable in-stream	202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview	22082603646	2.1	495,058
In-feed	Seat Gume Mar - Apr 2025 (DG) - CPC	22371337385	2.5	174,026
Shorts	Seat Gume Mar - Apr 2025 (DG) - CPC	22371337385	3.1	44,134
In-feed	Škoda Gume Mar - Apr 2025 (DG) - CPC	22364219038	2.4	232,056
Shorts	Škoda Gume Mar - Apr 2025 (DG) - CPC	22364219038	3.7	88,892
In-feed	Volkswagen Gume Mar - Apr 2025 (DG) - CPC	22360534505	2.4	301,656
Shorts	Volkswagen Gume Mar - Apr 2025 (DG) - CPC	22360534505	3.2	56,639
In-feed	Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC	22359572836	4.9	375,118
Skippable in-stream	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	2.6	620,884
In-feed	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	2.4	325,171
Shorts	Volkswagen AE Boost March 2025 (YT) - VVC - CPV	22313291011	2.5	138,658
Bumper	Volkswagen AE Boost March 2025 (YT) - Bumper - CPM	22302962088	2.5	857,473
In-feed	Volkswagen AE Boost March 2025 (DG) - CPC	22296172251	4.5	430,111
Shorts	Volkswagen AE Boost March 2025 (DG) - CPC	22296172251	6	36,862
Skippable in-stream	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	2.6	641,587
In-feed	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	1.6	442,338
Shorts	Energycom March 2025 (YT) - Reach Mix 2.0	22296132423	2.3	399,113
Skippable in-stream	YT-Cupra-Terramar_2025-view's-13012025-22012025	22113707264	2.9	201,489
Skippable in-stream	YT-Cupra-Terramar_2025-view's-23012025-31012025 Formentor	22107432864	2.6	201,865
Bumper	T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na	22310055769	1.6	255,804
Skippable in-stream	T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na	22309957333	2.4	170,799
Skippable in-stream	T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na	22186470409	2.2	170,143
Skippable in-stream	Loacker Jan - Feb 2025 (YT) - VVC - CPV	22162135107	2.5	246,325
In-feed	Loacker Jan - Feb 2025 (YT) - VVC - CPV	22162135107	1.5	36,243
Shorts	Loacker Jan - Feb 2025 (YT) - VVC - CPV	22162135107	2.1	25,903
Skippable in-stream	Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM	22162051863	1.4	146,856
In-feed	Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM	22162051863	1.7	309,066
Bumper	Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM	22162051863	2.4	524,534
Shorts	Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM	22162051863	2.6	329,716
Skippable in-stream	Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0	22135917811	1.8	420,863
In-feed	Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0	22135917811	1.3	233,451
Bumper	Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0	22135917811	2.4	1,039,779
Skippable in-stream	Ahmad Tea Jan - Feb 2025 (YT) - VVC	22132274384	3.4	477,912
In-feed	Ahmad Tea Jan - Feb 2025 (YT) - VVC	22132274384	1.5	15,089
Bumper	Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM	22364179833	1.3	142,804
Skippable in-stream	Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV	22364175495	1.8	94,635
In-feed	Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV	22364175495	1.8	59,204
Skippable in-stream	reflustat_march_2025_youtube_fc_cpm	22357797015	4	160,617
Bumper	reflustat_march_2025_youtube_fc_cpm	22357797015	2.8	126,742
Skippable in-stream	McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper	22331816158	1.1	12,156
Skippable in-stream	McDonald's_Triple cheeseburger_March_2025  (YT) - CPV	22328128277	1.1	16,060
Skippable in-stream	McDonald's_Coffee_I_March_2025 (YT) - CPV	22324505909	1.1	17,473
In-feed	McDonald's_Coffee_I_March_2025 (YT) - Bumper	22324496873	1.2	84,922
Bumper	McDonald's_Coffee_I_March_2025 (YT) - Bumper	22324496873	1.1	58,836
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	1.9	202,645
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	1.2	48,437
Shorts	VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22306114256	1.9	116,871
In-feed	DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22299667824	8.5	252,179
Shorts	DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.	22299667824	10.8	34,946
Skippable in-stream	Elgrad  Feb - Mar 2025 (YT) - CPM	22273119028	3.1	348,802
Skippable in-stream	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.	22255099322	2.5	468,383
In-feed	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.	22255099322	1.5	124,338
Shorts	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.	22255099322	2.8	322,335
Skippable in-stream	McDonald's McCrispy I Feb-Mar 2025 (YT) - CPV	22253567644	3	616,845
In-feed	McDonald's McCrispy I Feb-Mar 2025 (YT) - Bumper	22253470993	2.4	606,904
Bumper	McDonald's McCrispy I Feb-Mar 2025 (YT) - Bumper	22253470993	2.5	757,927
In-feed	DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.	22248624606	5.5	544,590
Shorts	DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.	22248624606	7	49,284
Skippable in-stream	McDonald's Maestro I Feb-Mar 2025 (YT) - CPV	22221082960	3	609,014
In-feed	McDonald's Maestro I Feb-Mar 2025 (YT) - Bumper	22217107820	2.6	660,222
Bumper	McDonald's Maestro I Feb-Mar 2025 (YT) - Bumper	22217107820	2.8	894,742
Skippable in-stream	McDonald's 1+1 Feb-Mar 2025 (YT) - CPV	22200515907	2.2	300,886
In-feed	McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper	22200493569	2	383,374
Bumper	McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper	22200493569	2.3	426,090
In-feed	McDonald's HM Pokemon Jan Feb 2025 (YT) - Bumper	22165469401	1.4	260,706
Bumper	McDonald's HM Pokemon Jan Feb 2025 (YT) - Bumper	22165469401	1.6	484,274
Skippable in-stream	McDonald's HM Pokemon Jan Feb 2025 (YT) - CPV	22155260349	2.5	795,849
Skippable in-stream	meralys_january_2025_youtube_cpm	22143110130	3.2	1,207,621
Skippable in-stream	Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV	22133482768	3.1	434,367
In-feed	Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV	22133482768	3	215,632
Shorts	Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV	22133482768	2.1	20,032
Skippable in-stream	prolife_january_2025_youtube_cpm_reachmix_2.0	22133399476	1.9	302,056
In-feed	prolife_january_2025_youtube_cpm_reachmix_2.0	22133399476	1.2	187,454
Bumper	prolife_january_2025_youtube_cpm_reachmix_2.0	22133399476	3.1	701,582
Shorts	prolife_january_2025_youtube_cpm_reachmix_2.0	22133399476	4.5	576,602
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.	22133251429	7.7	538,445
Shorts	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.	22133251429	8.4	29,925
Skippable in-stream	McDonald's McDelivery Jan - Apr 2025 (YT) - CPV	22129861369	2.1	388,088
In-feed	McDonald's McDelivery Jan - Apr 2025 (YT) - Bumper	22129838083	1.5	197,295
Bumper	McDonald's McDelivery Jan - Apr 2025 (YT) - Bumper	22129838083	1.6	356,873
Skippable in-stream	Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV	22125482779	3.1	514,207
In-feed	Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV	22125482779	4.1	365,133
Shorts	Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV	22125482779	3.7	98,063
Skippable in-stream	Zott Jogobella Jan - Feb 2025 (YT) - Bumper - CPM	22123497963	1.9	313,061
Shorts	Zott Jogobella Jan - Feb 2025 (YT) - Bumper - CPM	22123497963	1.4	85,782
Skippable in-stream	Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM	22109070190	1.3	49,341
Bumper	Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM	22109070190	2.8	835,012
Shorts	Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM	22109070190	4.8	367,586
Skippable in-stream	Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV	22109053123	4.6	736,925
In-feed	Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV	22109053123	3.4	327,943
Shorts	Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV	22109053123	4.5	168,417
Skippable in-stream	McDonald's 1+1 January 2025 (YT) - CPV	22101473486	2.8	765,520
In-feed	McDonald's 1+1 January 2025 (YT) - Bumper	22101432671	1.7	407,067
Bumper	McDonald's 1+1 January 2025 (YT) - Bumper	22101432671	2	651,053
Skippable in-stream	McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV	22099305524	2.4	422,989
In-feed	McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper	22099244537	1.7	301,714
Bumper	McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper	22099244537	2.2	544,403
In-feed	McDonald's Coffee AO Jan - Mar 2025 (YT) - Bumper	22089219752	1.6	248,965
Bumper	McDonald's Coffee AO Jan - Mar 2025 (YT) - Bumper	22089219752	1.8	372,894
Skippable in-stream	McDonald's Srijeda koja vrijedi više AO Jan - Mar 2025 (YT) - CPV	22088751824	2.4	581,771
Skippable in-stream	McDonald's Coffee AO Jan - Mar 2025 (YT) - CPV	22083070983	2.4	459,876
