Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
Skippable in-stream,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,23247963255,2.1,501714.0
In-feed,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,23247963255,1.5,387027.0
Shorts,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-YT_lg.com/hr/lg-washtower_awareness_20251030-0003_google-ads_YT_PRO_CPM_IMP_PRO,23247963255,1.0,1933.0
Skippable in-stream,MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL,23337586207,2.4,101947.0
In-feed,MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL,23337586207,4.9,843902.0
Shorts,MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL,23337586207,2.6,44870.0
In-feed,Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC,23268872371,4.9,565783.0
Shorts,Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC,23268872371,5.6,97170.0
Skippable in-stream,Kaufland - Image - Božić - Nov - Dec (YT) - CPM,23259665943,2.3,625293.0
In-feed,Kaufland - Image - Božić - Nov - Dec (YT) - CPM,23259665943,2.4,384035.0
In-feed,Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC,23257840267,3.4,429401.0
Shorts,Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC,23257840267,4.4,81138.0
Skippable in-stream,Audi Akumulator Nov - Dec 2025 (DG) - CPC,23228911139,2.2,17112.0
In-feed,Audi Akumulator Nov - Dec 2025 (DG) - CPC,23228911139,4.2,362911.0
Shorts,Audi Akumulator Nov - Dec 2025 (DG) - CPC,23228911139,4.2,19776.0
Skippable in-stream,Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM,23227314390,2.9,735522.0
In-feed,Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM,23227314390,1.8,596819.0
