Account,Brand,Campaign,Ad_Format,Cost_Parsed,Campaign ID
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.,Demand Gen,2169.64,22299667824
Porsche Audi 2023,Porsche,Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC,Demand Gen,2155.23,23178401984
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC,Demand Gen,2150.35,23268872371
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV II - May 2025 (DG) - CPC,Demand Gen,2089.69,22536061637
Porsche Seat 2023,Porsche,Seat Gume Oct - Dec 2025 (PMAX) - CPA,PMax,2087.33,23151243997
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Servisni paketi - Ulje Apr - May 2025 (PMAX) - CPA,PMax,2046.53,22428809467
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA,PMax,2040.38,22391080746
Porsche Škoda 2023,Porsche,Škoda Elroq Apr - May 2025 (DG) - CPC,Demand Gen,2000.18,22470193148
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.,Demand Gen,2000.16,22248624606
McDonald's EUR,McDonald's,McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC,Demand Gen,1999.05,23279927975
Porsche Škoda 2023,Porsche,Škoda Akumulator Nov - Dec 2025 (PMAX) - CPA,PMax,1937.54,23247325415
Porsche Seat 2023,Porsche,Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC,Demand Gen,1925.05,23177785397
Porsche Seat 2023,Porsche,Seat Zupčasti remen Oct - Dec 2025 (PMAX) - CPA,PMax,1915.04,23172967626
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV - Mar-Apr 2025 (PMAX) - CPA,PMax,1888.77,22359900703
Porsche Audi 2023,Porsche,Audi Gume Mar - Apr 2025 (PMAX) - CPA,PMax,1867.04,22371579791
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.,Demand Gen,1850.01,22679748705
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.4.-15.6.,Demand Gen,1850.01,22453368902
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.,Demand Gen,1849.95,22133251429
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC,Demand Gen,1845.98,23242081674
Porsche Škoda 2023,Porsche,Škoda Gume Oct - Dec 2025 (DG) - CPC,Demand Gen,1819.37,23155974167
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,Demand Gen,1811.84,22999073400
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.,PMax,1796.08,23031771971
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.,Demand Gen,1765.38,23025722586
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.,Demand Gen,1750.0,22449188365
Porsche Škoda 2023,Porsche,Škoda Servisni paketi - Ulje Apr - May 2025 (PMAX) - CPA,PMax,1735.38,22428892444
Porsche Škoda 2023,Porsche,Škoda Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA,PMax,1714.57,22391002215
McDonald's EUR,McDonald's,McDonald's Employer Image II May - June 2025 Demand Gen - CPA,Demand Gen,1700.94,22575094499
Porsche Audi 2023,Porsche,Audi Gume Oct - Dec 2025 (DG) - CPC,Demand Gen,1676.57,23151461725
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025,Demand Gen,1650.02,22545560319
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.,Demand Gen,1625.01,22499326504
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11,Demand Gen,1624.4,23140104916
Porsche Osobna Vozila,Porsche,Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC,Demand Gen,1619.29,22480010801
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Gume Mar - Apr 2025 (DG) - CPC,Demand Gen,1600.54,22360534505
Porsche Audi 2023,Porsche,Audi Akumulator Nov - Dec 2025 (PMAX) - CPA,PMax,1567.53,23228911136
Porsche Moon 2023,Porsche,Porsche Moon May - Jul 2025 - (DG) - CPC,Demand Gen,1564.11,22575439607
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea,PMax,1552.04,23035354024
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.,Demand Gen,1550.44,23156565104
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.,PMax,1542.33,22133253577
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC,Demand Gen,1537.75,22973235801
Porsche  Das Welt Auto 2023,Porsche,Porsche DWA Oct - Dec 2025 (DG) - CPC,Demand Gen,1501.02,23205620765
McDonald's EUR,McDonald's,McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC,Demand Gen,1500.35,22921219638
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.,Demand Gen,1500.1,22425796232
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC,Demand Gen,1498.97,23224632388
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,Demand Gen,1497.95,23136083489
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025,PMax,1492.76,23130284850
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV II - May 2025 (PMAX) - CPA,PMax,1450.6,22539651838
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC,Demand Gen,1448.26,23257840267
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.,PMax,1447.72,23150224947
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.,Demand Gen,1413.35,23142265886
ENERGYCOM D.O.O.,Energycom,Energycom New Creatives Jun - Jul 2025 - Performance Max,PMax,1403.59,22646649812
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.,PMax,1402.09,23136999027
Porsche Škoda 2023,Porsche,Škoda Gume Mar - Apr 2025 (DG) - CPC,Demand Gen,1398.91,22364219038
Porsche Seat 2023,Porsche,Seat Gume Oct - Dec 2025 (DG) - CPC,Demand Gen,1397.42,23141475096
Porsche Audi 2023,Porsche,Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA,PMax,1386.52,22418928669
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Metlice Oct - Dec 2025 (PMAX) - CPA,PMax,1384.29,23161207339
Porsche Audi 2023,Porsche,Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA,PMax,1384.2,22390948020
Porsche Seat 2023,Porsche,Seat Akumulator Nov - Dec 2025 (PMAX) - CPA,PMax,1335.55,23231650448
Porsche Audi 2023,Porsche,Audi Gume Mar - Apr 2025 (DG) - CPC,Demand Gen,1280.86,22365090942
Porsche Seat 2023,Porsche,Seat Gume Mar - Apr 2025 (PMAX) - CPA,PMax,1257.66,22375110178
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.,Demand Gen,1249.65,22605732707
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Metlice Oct - Dec 2025 (DG) - CPC,Demand Gen,1247.71,23156738063
Porsche Škoda 2023,Porsche,Škoda Superb May-Jun 2025 (DG) - CPC,Demand Gen,1199.98,22553033214
Porsche Škoda 2023,Porsche,Škoda Kodiaq May-Jun 2025 (DG) - CPC,Demand Gen,1199.95,22562758033
Porsche Škoda 2023,Porsche,Škoda Kodiaq PHEV August 2025 (DG) - CPC,Demand Gen,1199.8,22836207357
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Servisni paketi - Metlice Apr - May 2025 (DG) - CPC,Demand Gen,1199.77,22391036373
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,Demand Gen,1199.72,22418687457
McDonald's EUR,McDonald's,McDonald's Zapošljavanje Zabok Aug - Sep 2025 (Perfomance Max) - CPA,Performance Max,1195.75,22915596195
Porsche Škoda 2023,Porsche,Škoda Akumulator Nov - Dec 2025 (DG) - CPC,Demand Gen,1153.96,23242272630
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen AE Boost March 2025 (DG) - CPC,Demand Gen,1100.53,22296172251
Porsche Škoda 2023,Porsche,Škoda Servisni paketi - Metlice Apr - May 2025 (DG) - CPC,Demand Gen,1049.88,22397389919
Porsche Škoda 2023,Porsche,Škoda Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,Demand Gen,1049.78,22425339566
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.,PMax,999.67,22689449956
Porsche Seat 2023,Porsche,Seat Metlice Oct - Dec 2025 (DG) - CPC,Demand Gen,961.92,23151051484
Porsche Audi 2023,Porsche,Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC,Demand Gen,960.28,22425388022
Porsche Audi 2023,Porsche,Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC,Demand Gen,960.19,22400779105
Porsche Seat 2023,Porsche,Seat Ulje Apr - May  2025 (PMAX) - CPA,PMax,937.78,22379138871
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC,Demand Gen,937.7,23064392874
Porsche Seat 2023,Porsche,Seat Metlice Apr - May 2025 (PMAX) - CPA,PMax,931.08,22389011644
Porsche Audi 2023,Porsche,Audi Akumulator Nov - Dec 2025 (DG) - CPC,Demand Gen,923.78,23228911139
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.,Demand Gen,921.92,23172997630
Porsche Škoda 2023,Porsche,Škoda Metlice Oct - Dec 2025 (PMAX) - CPA,PMax,865.94,23160594388
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,MUM5Jul24_SDA_SDARange_SDARange_Flight,Demand Gen,800.35,21429004680
Porsche Seat 2023,Porsche,Seat Akumulator Nov - Dec 2025 (DG) - CPC,Demand Gen,770.6,23231650544
Porsche Audi 2023,Porsche,Audi Metlice Oct - Dec 2025 (DG) - CPC,Demand Gen,769.69,23172640507
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAX_20.10.-31.12.2025.,PMax,697.57,23172997174
Porsche Audi 2023,Porsche,Audi Metlice Oct - Dec 2025 (PMAX) - CPA,PMax,689.84,23172535645
Porsche Seat 2023,Porsche,Seat Gume Mar - Apr 2025 (DG) - CPC,Demand Gen,672.07,22371337385
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders,Demand Gen,653.44,22586653620
Philips Hrvatska EUR,Philips,PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.,PMax,647.05,23283955574
Porsche Seat 2023,Porsche,Seat Metlice Oct - Dec 2025 (PMAX) - CPA,PMax,578.6,23146691471
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.,Demand Gen,550.81,23283832784
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - NEO konkurencija - Stoti kupac - Jankomir - Oct 2025 (DG) - CPC,Demand Gen,548.78,23068292085
Porsche Seat 2023,Porsche,Seat Ulje Apr - May 2025 (DG) - CPC,Demand Gen,503.99,22379063754
Porsche Seat 2023,Porsche,Seat Metlice Apr - May 2025 (DG) - CPC,Demand Gen,503.99,22379011626
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC,Demand Gen,501.92,23055092044
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC,Demand Gen,501.59,22939420753
Kaufland_Display_HR,Kaufland,Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC,Demand Gen,501.39,23055052468
JGL Croatia EUR,JGL,jgl_zaposljavanje_october_2025_cross-network_pmax,PMax,497.27,23130287493
Porsche Škoda 2023,Porsche,Škoda Metlice Oct - Dec 2025 (DG) - CPC,Demand Gen,480.23,23156094650
Saponia,Saponia,Saponia Nagradna Igra Operi December 2025 - (DG) - CPC,Demand Gen,399.22,23365245812
JGL Croatia EUR,JGL,JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC,Demand Gen,325.11,22738852523
JGL Croatia EUR,JGL,JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC,Demand Gen,245.08,22738795586
Philips Serbia DAN,Philips,PMAX_OMD_RS-SR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO,PMax,2.41,22857655199
