Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
In-feed;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;Philips Hrvatska EUR;22725272300;4;0.00%;351,264;27.99;0.32;12,163;0.01;111.95;0;0
Bumper;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;Philips Hrvatska EUR;22725272300;1,593;0.15%;1,036,443;0.73;1.12;0;0;1160.32;2.82;411.23
Shorts;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.;Philips Hrvatska EUR;22725272300;915;0.13%;702,503;0.41;0.53;9,128;0.04;375.75;22;17.08
In-feed;McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper;McDonald's EUR;22710122542;25;0.00%;1,023,187;13.35;0.33;22,753;0.01;333.66;120.15;2.78
Bumper;McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper;McDonald's EUR;22710122542;1,371;0.13%;1,070,532;1.22;1.56;0;0;1666.83;120.23;13.86
Skippable in-stream;McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;McDonald's EUR;22706177735;1,097;0.10%;1,049,657;2.74;2.86;687,404;0;3000.55;481.53;6.23
Skippable in-stream;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO;Philips Hrvatska EUR;22691381184;150;0.06%;241,335;4.61;2.87;88,611;0.01;692.09;16.98;40.76
In-feed;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO;Philips Hrvatska EUR;22691381184;12;0.00%;398,824;12.73;0.38;11,052;0.01;152.81;3.52;43.45
Bumper;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO;Philips Hrvatska EUR;22691381184;1,807;0.23%;779,231;0.77;1.78;0;0;1385.08;8.7;159.16
Shorts;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO;Philips Hrvatska EUR;22691381184;506;0.14%;361,421;0.53;0.74;3,993;0.07;268.94;32;8.4
