Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;Philips Hrvatska EUR;22499484667;24;0.00%;568,656;6.83;0.29;18,572;0.01;163.99;17.5;9.37
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;Philips Hrvatska EUR;22499484667;1,430;0.11%;1,253,609;1.12;1.28;0;0;1604.46;28.94;55.45
Shorts;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;Philips Hrvatska EUR;22499484667;1,361;0.20%;686,286;0.24;0.48;18,959;0.02;329.89;97.92;3.37
In-feed;McDonald's 1+1 Apr-May 2025 (YT) - Bumper;McDonald's EUR;22491848552;65;0.00%;1,334,709;5.04;0.25;15,004;0.02;327.55;183.06;1.79
Bumper;McDonald's 1+1 Apr-May 2025 (YT) - Bumper;McDonald's EUR;22491848552;2,145;0.11%;1,898,556;1.01;1.14;0;0;2172.55;836.26;2.6
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Hrvatska EUR;22489151010;91;0.11%;86,270;2.15;2.27;26,569;0.01;195.86;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Hrvatska EUR;22489151010;18;0.01%;321,607;6.94;0.39;6,673;0.02;124.95;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Hrvatska EUR;22489151010;1,108;0.22%;508,494;0.72;1.57;0;0;798.65;3;266.22
Shorts;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Hrvatska EUR;22489151010;149;0.12%;122,635;0.55;0.66;1,212;0.07;81.38;2;40.69
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;Philips Hrvatska EUR;22489118778;1,252;0.30%;416,282;0.58;1.75;115,637;0.01;729.03;79.59;9.16
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;Philips Hrvatska EUR;22489118778;13;0.00%;267,205;5.5;0.27;2,351;0.03;71.46;3.04;23.54
Skippable in-stream;McDonald's 1+1 Apr-May 2025 (YT) - CPV;McDonald's EUR;22485305991;1,573;0.11%;1,448,890;3.18;3.45;951,215;0.01;4999.71;1,446.64;3.46
Skippable in-stream;VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.;Philips Hrvatska EUR;22460577070;1,499;0.14%;1,044,426;0.99;1.41;326,768;0;1477.09;177.01;8.34
In-feed;VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.;Philips Hrvatska EUR;22460577070;17;0.00%;587,448;7.21;0.21;6,220;0.02;122.65;5;24.53
In-feed;McDonald's Maestro II April - June 2025 (YT) - Bumper;McDonald's EUR;22456877969;70;0.00%;1,663,450;5.33;0.22;21,756;0.02;372.95;133.32;2.8
Bumper;McDonald's Maestro II April - June 2025 (YT) - Bumper;McDonald's EUR;22456877969;2,089;0.08%;2,481,247;1.26;1.06;0;0;2627.45;610.92;4.3
Skippable in-stream;McDonald's Maestro II April - June 2025 (YT) - CPV;McDonald's EUR;22455850267;1,823;0.13%;1,440,054;2.74;3.47;897,319;0.01;4998.66;1,208.00;4.14
Skippable in-stream;McDonald's McCrispy II April - May 2025 (YT) - CPV;McDonald's EUR;22455842356;1,420;0.13%;1,122,354;2.68;3.39;690,884;0.01;3800.01;1,143.02;3.32
In-feed;McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper;McDonald's EUR;22452503269;15;0.01%;299,614;7.97;0.4;6,659;0.02;119.52;1;119.52
Bumper;McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper;McDonald's EUR;22452503269;517;0.13%;411,027;1.32;1.66;0;0;680.49;258.29;2.63
In-feed;McDonald's McCrispy II April - May 2025 (YT) - Bumper;McDonald's EUR;22452364523;43;0.00%;1,104,768;5.59;0.22;12,470;0.02;240.49;40.83;5.89
Bumper;McDonald's McCrispy II April - May 2025 (YT) - Bumper;McDonald's EUR;22452364523;1,283;0.07%;1,770,569;1.37;0.99;0;0;1759.43;387.57;4.54
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2;Philips Hrvatska EUR;22445866454;522;0.13%;407,850;1.54;1.97;389,424;0;802.07;79.07;10.14
In-feed;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2;Philips Hrvatska EUR;22445866454;0;0.00%;6,232;0;0.78;147;0.03;4.87;0;0
Skippable in-stream;McDonald's McDelivery Wolt Apr - May 2025 (YT) - CPV;McDonald's EUR;22442535963;3,112;0.46%;673,214;0.39;1.78;631,049;0;1199.9;1,479.19;0.81
In-feed;McDonald's McDelivery Apr - May 2025 (YT) - Bumper;McDonald's EUR;22433488221;47;0.01%;688,087;6.12;0.42;15,378;0.02;287.61;44;6.54
Bumper;McDonald's McDelivery Apr - May 2025 (YT) - Bumper;McDonald's EUR;22433488221;1,333;0.12%;1,066,833;1.28;1.6;0;0;1711.74;41.57;41.18
Skippable in-stream;McDonald's McDelivery Apr - May 2025 (YT) - CPV;McDonald's EUR;22433452242;1,833;0.15%;1,225,238;2.18;3.26;746,507;0.01;3997.74;834.18;4.79
Bumper;Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM;Zott EUR;22432580057;1,867;0.11%;1,672,455;1.23;1.37;0;0;2292.86;0;0
Shorts;Zott Protein Apr - Jun 2025 (YT) - Bumper - CPM;Zott EUR;22432580057;432;0.13%;323,970;0.48;0.64;13,682;0.02;207.86;0;0
Skippable in-stream;Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV;Zott EUR;22432560440;1,422;0.07%;2,089,676;3.95;2.69;1,542,026;0;5621.34;0;0
In-feed;Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV;Zott EUR;22432560440;28;0.00%;690,141;12.81;0.52;49,761;0.01;358.78;0;0
Shorts;Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV;Zott EUR;22432560440;1,447;0.34%;430,982;0.15;0.51;16,617;0.01;221.1;0;0
Skippable in-stream;VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;Philips Hrvatska EUR;22429388089;196;0.02%;907,852;3.44;0.74;341,423;0;674.79;11;61.34
In-feed;VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;Philips Hrvatska EUR;22429388089;198;0.01%;2,010,647;1.98;0.2;47,214;0.01;392.45;29;13.53
Bumper;VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;Philips Hrvatska EUR;22429388089;4,032;0.17%;2,399,737;0.24;0.41;0;0;979.62;28.03;34.95
Shorts;VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;Philips Hrvatska EUR;22429388089;579;0.21%;276,783;0.18;0.38;4,863;0.02;104.57;27;3.87
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;Philips Hrvatska EUR;22419253848;98;0.04%;262,937;4.55;1.7;99,931;0;446.3;24;18.59
In-feed;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;Philips Hrvatska EUR;22419253848;25;0.00%;725,007;7.6;0.26;9,680;0.02;190.1;10;19.01
Bumper;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;Philips Hrvatska EUR;22419253848;1,176;0.12%;1,015,255;1.07;1.24;0;0;1260.11;8.11;155.47
Shorts;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;Philips Hrvatska EUR;22419253848;270;0.14%;190,801;0.39;0.55;4,560;0.02;104.9;29.01;3.62
Skippable in-stream;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;Croatia_Hidra;22418606613;3,660;0.17%;2,178,644;1.1;1.85;568,451;0.01;4034.67;0;0
In-feed;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;Croatia_Hidra;22418606613;11;0.00%;595,202;29.53;0.55;27,002;0.01;324.87;0;0
Shorts;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;Croatia_Hidra;22418606613;3,409;0.15%;2,235,116;0.39;0.6;41,672;0.03;1339.85;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;Philips Hrvatska EUR;22401314099;120;0.05%;255,648;3.56;1.67;87,617;0;427.53;19;22.5
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;Philips Hrvatska EUR;22401314099;26;0.00%;686,858;7.39;0.28;13,013;0.01;192.23;6;32.04
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;Philips Hrvatska EUR;22401314099;1,804;0.13%;1,425,541;0.87;1.11;0;0;1577.17;13.45;117.23
Shorts;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;Philips Hrvatska EUR;22401314099;485;0.10%;499,370;0.63;0.61;6,979;0.04;304.37;50;6.09
Skippable in-stream;fungilac_march_2025_youtube_fc_cpm;JGL Croatia EUR;22397772365;6,685;0.17%;3,827,415;1;1.75;1,304,796;0.01;6698.58;5;1339.72
Bumper;Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM;Zott EUR;22364179833;629;0.11%;590,504;1.27;1.36;0;0;800.35;0;0
Skippable in-stream;Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV;Zott EUR;22364175495;342;0.06%;544,941;4.57;2.87;382,770;0;1564.32;0;0
In-feed;Zott Jogobella Mar - Apr 2025 (YT) - TrueView - CPV;Zott EUR;22364175495;17;0.01%;295,269;8.01;0.46;17,273;0.01;136.19;0;0
Skippable in-stream;reflustat_march_2025_youtube_fc_cpm;JGL Croatia EUR;22357797015;1,763;0.07%;2,398,975;2.8;2.06;838,617;0.01;4944.31;1;4944.31
Bumper;reflustat_march_2025_youtube_fc_cpm;JGL Croatia EUR;22357797015;4,143;0.10%;3,968,427;1.23;1.29;0;0;5103.31;1;5103.31
Skippable in-stream;McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper;McDonald's EUR;22331816158;23;0.19%;11,930;1.04;2.01;10,934;0;23.96;30.13;0.8
Skippable in-stream;McDonald's_Triple cheeseburger_March_2025  (YT) - CPV;McDonald's EUR;22328128277;29;0.17%;16,911;1.64;2.81;10,365;0;47.53;17.13;2.78
Skippable in-stream;McDonald's_Coffee_I_March_2025 (YT) - CPV;McDonald's EUR;22324505909;46;0.26%;17,803;1.11;2.88;8,486;0.01;51.19;23.84;2.15
In-feed;McDonald's_Coffee_I_March_2025 (YT) - Bumper;McDonald's EUR;22324496873;2;0.00%;92,853;14.4;0.31;1,672;0.02;28.8;5;5.76
Bumper;McDonald's_Coffee_I_March_2025 (YT) - Bumper;McDonald's EUR;22324496873;39;0.07%;57,010;1.89;1.29;0;0;73.71;9;8.19
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;Philips Hrvatska EUR;22306114256;967;0.16%;588,121;0.85;1.4;144,416;0.01;822.52;85.09;9.67
In-feed;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;Philips Hrvatska EUR;22306114256;4;0.01%;73,568;4.63;0.25;1,440;0.01;18.52;0;0
Shorts;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;Philips Hrvatska EUR;22306114256;452;0.14%;328,516;0.35;0.49;5,372;0.03;159.48;71.92;2.22
Skippable in-stream;Elgrad  Feb - Mar 2025 (YT) - CPM;Elgrad Austria EUR;22273119028;1,224;0.12%;1,030,895;2.12;2.52;365,042;0.01;2599.24;0;0
Skippable in-stream;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;Philips Hrvatska EUR;22255099322;2,250;0.14%;1,552,180;0.91;1.32;434,094;0;2056.36;130.14;15.8
In-feed;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;Philips Hrvatska EUR;22255099322;9;0.00%;226,083;6.25;0.25;4,829;0.01;56.24;2;28.12
Shorts;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;Philips Hrvatska EUR;22255099322;1,052;0.09%;1,133,303;0.46;0.43;12,956;0.04;487.78;73.96;6.6
Skippable in-stream;McDonald's McCrispy I Feb-Mar 2025 (YT) - CPV;McDonald's EUR;22253567644;1,304;0.08%;1,547,745;3.51;2.96;981,717;0;4575.63;1,604.45;2.85
In-feed;McDonald's McCrispy I Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22253470993;87;0.01%;1,354,825;3.06;0.2;16,318;0.02;266.5;153.68;1.73
Bumper;McDonald's McCrispy I Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22253470993;1,398;0.08%;1,689,987;1.11;0.92;0;0;1556.33;1,131.03;1.38
Skippable in-stream;McDonald's Maestro I Feb-Mar 2025 (YT) - CPV;McDonald's EUR;22221082960;1,351;0.09%;1,515,311;3.07;2.74;929,473;0;4146.05;1,581.17;2.62
In-feed;McDonald's Maestro I Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22217107820;114;0.01%;1,631,573;2.86;0.2;20,239;0.02;326.06;279.79;1.17
Bumper;McDonald's Maestro I Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22217107820;2,050;0.09%;2,210,605;1.02;0.94;0;0;2084.85;618.99;3.37
Skippable in-stream;McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;McDonald's EUR;22200515907;490;0.09%;543,252;3.06;2.76;323,312;0;1500.69;376.61;3.98
In-feed;McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22200493569;37;0.01%;696,443;3.46;0.18;9,379;0.01;128.14;59.23;2.16
Bumper;McDonald's 1+1 Feb-Mar 2025 (YT) - Bumper;McDonald's EUR;22200493569;417;0.05%;834,996;1.61;0.81;0;0;672.65;116.87;5.76
In-feed;McDonald's HM Pokemon Jan Feb 2025 (YT) - Bumper;McDonald's EUR;22165469401;23;0.01%;317,258;3.54;0.26;6,718;0.01;81.49;46;1.77
Bumper;McDonald's HM Pokemon Jan Feb 2025 (YT) - Bumper;McDonald's EUR;22165469401;656;0.10%;686,066;1.02;0.97;0;0;666.95;162.08;4.11
Skippable in-stream;McDonald's HM Pokemon Jan Feb 2025 (YT) - CPV;McDonald's EUR;22155260349;4,153;0.23%;1,798,973;1.08;2.5;949,296;0;4495.46;2,593.81;1.73
Skippable in-stream;meralys_january_2025_youtube_cpm;JGL Croatia EUR;22143110130;8,766;0.25%;3,570,139;0.65;1.61;922,976;0.01;5741.17;0;0
Skippable in-stream;Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV;Zott EUR;22133482768;796;0.07%;1,175,538;3.56;2.41;749,281;0;2830.33;0;0
In-feed;Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV;Zott EUR;22133482768;47;0.01%;572,341;5.04;0.41;33,241;0.01;236.91;0;0
Shorts;Zott Jogobella Jan - Feb 2025 (YT) - TrueView - CPV;Zott EUR;22133482768;108;0.27%;40,186;0.12;0.33;1,063;0.01;13.12;0;0
Skippable in-stream;prolife_january_2025_youtube_cpm_reachmix_2.0;JGL Croatia EUR;22133399476;174;0.04%;441,301;4.4;1.73;142,583;0.01;765.06;0;0
In-feed;prolife_january_2025_youtube_cpm_reachmix_2.0;JGL Croatia EUR;22133399476;9;0.00%;186,755;6.42;0.31;6,200;0.01;57.82;0;0
Bumper;prolife_january_2025_youtube_cpm_reachmix_2.0;JGL Croatia EUR;22133399476;1,248;0.07%;1,843,088;1.4;0.95;0;0;1749.15;0;0
Shorts;prolife_january_2025_youtube_cpm_reachmix_2.0;JGL Croatia EUR;22133399476;3,172;0.13%;2,463,847;0.4;0.51;43,724;0.03;1254.93;0;0
Skippable in-stream;McDonald's McDelivery Jan - Apr 2025 (YT) - CPV;McDonald's EUR;22129861369;1,014;0.15%;685,803;1.31;1.93;350,975;0;1326.7;400.59;3.31
In-feed;McDonald's McDelivery Jan - Apr 2025 (YT) - Bumper;McDonald's EUR;22129838083;19;0.01%;270,218;2.72;0.19;4,213;0.01;51.67;2;25.83
Bumper;McDonald's McDelivery Jan - Apr 2025 (YT) - Bumper;McDonald's EUR;22129838083;239;0.05%;492,934;1.63;0.79;0;0;389.74;18.22;21.39
Skippable in-stream;Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV;Zott EUR;22125482779;3,736;0.24%;1,546,606;1.17;2.83;720,481;0.01;4375.56;0;0
In-feed;Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV;Zott EUR;22125482779;644;0.04%;1,468,191;1.42;0.62;66,687;0.01;916.64;0;0
Shorts;Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV;Zott EUR;22125482779;919;0.26%;359,127;0.23;0.58;12,603;0.02;208.16;0;0
Skippable in-stream;Zott Jogobella Jan - Feb 2025 (YT) - Bumper - CPM;Zott EUR;22123497963;403;0.08%;515,856;1.81;1.42;154,294;0;730.1;0;0
Shorts;Zott Jogobella Jan - Feb 2025 (YT) - Bumper - CPM;Zott EUR;22123497963;101;0.09%;117,104;0.4;0.34;1,500;0.03;40.18;0;0
Skippable in-stream;Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM;Zott EUR;22109070190;50;0.09%;56,308;1.35;1.2;20,080;0;67.59;0;0
Bumper;Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM;Zott EUR;22109070190;2,925;0.13%;2,196,236;0.69;0.92;0;0;2017.65;0;0
Shorts;Zott Protein Jan - Mar 2025 (YT) - Bumper - CPM;Zott EUR;22109070190;1,957;0.11%;1,778,446;0.47;0.52;36,701;0.02;916.12;0;0
Skippable in-stream;Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV;Zott EUR;22109053123;2,705;0.08%;3,212,649;2.79;2.35;2,207,935;0;7545.43;0;0
In-feed;Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV;Zott EUR;22109053123;132;0.01%;1,109,288;3.27;0.39;65,508;0.01;432.01;0;0
Shorts;Zott Protein Jan - Mar 2025 (YT) - Trueview - CPV;Zott EUR;22109053123;1,863;0.24%;765,056;0.17;0.42;24,496;0.01;323.6;0;0
Skippable in-stream;McDonald's 1+1 January 2025 (YT) - CPV;McDonald's EUR;22101473486;2,518;0.14%;1,844,138;1.59;2.17;1,009,638;0;3999.3;1,699.28;2.35
In-feed;McDonald's 1+1 January 2025 (YT) - Bumper;McDonald's EUR;22101432671;49;0.01%;606,540;2.43;0.2;10,919;0.01;119.11;28.31;4.21
Bumper;McDonald's 1+1 January 2025 (YT) - Bumper;McDonald's EUR;22101432671;854;0.08%;1,109,313;1.03;0.79;0;0;880.52;210.22;4.19
Skippable in-stream;McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;McDonald's EUR;22099305524;710;0.09%;807,626;2.82;2.48;455,053;0;1999.8;469.73;4.26
In-feed;McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22099244537;19;0.00%;439,330;5.03;0.22;8,344;0.01;95.5;51.89;1.84
Bumper;McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22099244537;706;0.07%;1,045,751;1.28;0.86;0;0;904.38;247.25;3.66
In-feed;McDonald's Coffee AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22089219752;16;0.00%;346,926;4.97;0.23;6,102;0.01;79.53;13;6.12
Bumper;McDonald's Coffee AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22089219752;249;0.05%;552,807;1.69;0.76;0;0;420.67;50.74;8.29
Skippable in-stream;McDonald's Srijeda koja vrijedi više AO Jan - Mar 2025 (YT) - CPV;McDonald's EUR;22088751824;2,280;0.19%;1,200,957;1.32;2.5;617,520;0;2999.19;1,373.87;2.18
Skippable in-stream;McDonald's Coffee AO Jan - Mar 2025 (YT) - CPV;McDonald's EUR;22083070983;817;0.09%;895,354;2.45;2.23;528,440;0;1999.64;777.6;2.57
In-feed;McDonald's Srijeda koja vrijedi više AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22082586423;260;0.01%;2,759,633;3.03;0.29;43,178;0.02;788.53;203.83;3.87
Bumper;McDonald's Srijeda koja vrijedi više AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22082586423;1,169;0.09%;1,231,342;0.98;0.93;0;0;1151.21;338.9;3.4
Skippable in-stream;Bison AirMax November 2025 (YT) - CPM;BISON EUR;23219213253;3,459;0.15%;2,262,889;1.75;2.67;611,442;0.01;6043.49;0;0
Shorts;Bison AirMax November 2025 (YT) - CPM;BISON EUR;23219213253;733;0.15%;487,081;0.62;0.93;6,031;0.08;455.33;0;0
In-feed;Bison Bolton - October 2025 (YT) - Bumper;BISON EUR;23077707730;9;0.00%;258,130;25.23;0.88;15,185;0.01;227.04;0;0
Bumper;Bison Bolton - October 2025 (YT) - Bumper;BISON EUR;23077707730;7,345;0.28%;2,661,598;0.99;2.73;0;0;7265.49;0;0
Shorts;Bison Bolton - October 2025 (YT) - Bumper;BISON EUR;23077707730;1,143;0.14%;792,508;0.88;1.27;14,818;0.07;1006.63;0;0
Skippable in-stream;Loacker Sep - Oct 2025 (YT) - VVC - CPV;Loacker EUR;23016634492;361;0.06%;580,043;4.04;2.51;393,070;0;1458.31;0;0
In-feed;Loacker Sep - Oct 2025 (YT) - VVC - CPV;Loacker EUR;23016634492;4;0.00%;154,172;16.4;0.43;6,888;0.01;65.58;0;0
Skippable in-stream;Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;77;0.02%;331,058;7.43;1.73;118,772;0;571.74;0;0
In-feed;Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;21;0.00%;930,957;12.1;0.27;10,162;0.03;254.17;0;0
Bumper;Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;293;0.03%;914,099;3.39;1.09;0;0;992.28;0;0
Shorts;Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;1,078;0.12%;866,280;0.43;0.54;18,267;0.03;467.69;0;0
Bumper;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;HR_EUCERIN_Google Ads_OMD_Video;22643474570;1,639;0.18%;925,645;0.91;1.6;0;0;1484.93;0;0
Skippable in-stream;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;HR_EUCERIN_Google Ads_OMD_Video;22643359196;917;0.16%;586,867;1.26;1.97;170,682;0.01;1154.96;0;0
Shorts;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;HR_EUCERIN_Google Ads_OMD_Video;22637317905;1,227;0.15%;799,565;0.54;0.83;9,530;0.07;660.09;0;0
Bumper;Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;BISON EUR;22579539314;6,173;0.21%;2,924,005;0.73;1.54;0;0;4500.04;0;0
Skippable in-stream;Loacker Apr - May 2025 (YT) - VVC - CPV;Loacker EUR;22460487259;212;0.05%;418,210;4.49;2.28;273,921;0;952.52;0;0
Skippable in-stream;Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22457057426;76;0.03%;223,155;5.13;1.75;78,630;0;390.07;0;0
In-feed;Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22457057426;8;0.00%;295,103;12.56;0.34;7,964;0.01;100.47;0;0
Bumper;Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22457057426;210;0.03%;613,838;3.07;1.05;0;0;645.5;0;0
Shorts;Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22457057426;768;0.13%;578,776;0.38;0.51;13,516;0.02;292.42;0;0
Bumper;T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;HR_EUCERIN_Google Ads_OMD_Video;22310055769;1,192;0.14%;843,160;1.76;2.48;0;0;2092.95;0;0
Skippable in-stream;T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;HR_EUCERIN_Google Ads_OMD_Video;22309957333;1,024;0.13%;811,384;3.07;3.87;539,411;0.01;3139.83;0;0
Skippable in-stream;T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;HR_EUCERIN_Google Ads_OMD_Video;22186470409;308;0.09%;327,566;3.25;3.05;200,933;0;1000.06;0;0
Skippable in-stream;Loacker Jan - Feb 2025 (YT) - VVC - CPV;Loacker EUR;22162135107;230;0.05%;482,006;3.98;1.9;279,561;0;916.44;0;0
In-feed;Loacker Jan - Feb 2025 (YT) - VVC - CPV;Loacker EUR;22162135107;0;0.00%;41,902;0;0.38;2,583;0.01;15.96;0;0
Shorts;Loacker Jan - Feb 2025 (YT) - VVC - CPV;Loacker EUR;22162135107;51;0.11%;45,432;0.39;0.44;1,253;0.02;20.06;0;0
Skippable in-stream;Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22162051863;42;0.03%;154,051;4.97;1.35;55,927;0;208.58;0;0
In-feed;Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22162051863;24;0.01%;462,882;4.65;0.24;9,833;0.01;111.67;0;0
