Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_YT_20.2.-30.4.2024.;21045176326;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_YT_20.2.-30.4.2024.;21045176326;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_YT_20.2.-30.4.2024.;21045176326;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_20.2.-30.4.2024.;21032574852;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_20.2.-30.4.2024.;21032574852;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_20.2.-30.4.2024.;21032559255;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_20.2.-30.4.2024.;21032559255;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_20.2.-30.4.2024.;21032559255;0;0;0;0
In-feed;"DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_DG_15.2.-30.4.2024. -	Pmax – PMAX_OMD_HR-";21018394929;0;0;0;0
Shorts;"DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_DG_15.2.-30.4.2024. -	Pmax – PMAX_OMD_HR-";21018394929;0;0;0;0
Skippable in-stream;mpf_jan_2024_youtube_cpm_reachmix_2.0;20954345651;0;0;0;0
In-feed;mpf_jan_2024_youtube_cpm_reachmix_2.0;20954345651;0;0;0;0
Shorts;mpf_jan_2024_youtube_cpm_reachmix_2.0;20954345651;0;0;0;0
Skippable in-stream;mpf_jan_2024_youtube_cpm;20936581360;0;0;0;0
Skippable in-stream;meralys_january_2024_youtube_cpm;20933200214;0;0;0;0
Skippable in-stream;vizols_nov_2023_youtube_cpm;20788477882;0;0;0;0
