Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419253848;98;262,937;446.3;24
In-feed;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419253848;25;725,007;190.1;10
Bumper;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419253848;1,176;1,015,255;1260.11;8.11
Shorts;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419253848;270;190,801;104.9;29.01
Skippable in-stream;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;22418606613;3,660;2,178,644;4034.67;0
In-feed;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;22418606613;11;595,202;324.87;0
Shorts;Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;22418606613;3,409;2,235,116;1339.85;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22401314099;120;255,648;427.53;19
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22401314099;26;686,858;192.23;6
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22401314099;1,804;1,425,541;1577.17;13.45
Shorts;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_1.4.-30.5.;22401314099;485;499,370;304.37;50
Skippable in-stream;fungilac_march_2025_youtube_fc_cpm;22397772365;6,685;3,827,415;6698.58;5
Skippable in-stream;reflustat_march_2025_youtube_fc_cpm;22357797015;1,763;2,398,975;4944.31;1
Bumper;reflustat_march_2025_youtube_fc_cpm;22357797015;4,143;3,968,427;5103.31;1
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22306114256;967;588,121;822.52;85.09
In-feed;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22306114256;4;73,568;18.52;0
Shorts;VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22306114256;452;328,516;159.48;71.92
In-feed;DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22299667824;68,204;3,099,520;2072.16;0
Shorts;DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22299667824;3,115;587,947;97.48;0
Skippable in-stream;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22255099322;2,250;1,552,180;2056.36;130.14
In-feed;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22255099322;9;226,083;56.24;2
Shorts;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22255099322;1,052;1,133,303;487.78;73.96
In-feed;DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22248624606;66,948;3,852,407;1930.72;698.8
Shorts;DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22248624606;2,527;464,549;69.44;49
Skippable in-stream;meralys_january_2025_youtube_cpm;22143110130;8,766;3,570,139;5741.17;0
Skippable in-stream;prolife_january_2025_youtube_cpm_reachmix_2.0;22133399476;174;441,301;765.06;0
In-feed;prolife_january_2025_youtube_cpm_reachmix_2.0;22133399476;9;186,755;57.82;0
Bumper;prolife_january_2025_youtube_cpm_reachmix_2.0;22133399476;1,248;1,843,088;1749.15;0
Shorts;prolife_january_2025_youtube_cpm_reachmix_2.0;22133399476;3,172;2,463,847;1254.93;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.;22133251429;74,614;4,170,171;1817.42;909
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.;22133251429;1,285;251,202;32.53;10
Skippable in-stream;Rio Mare Insalatissime Autumn Nov - Dec 2024 (YT) - CPM;21901897197;0;0;0;0
Shorts;Rio Mare Insalatissime Autumn Nov - Dec 2024 (YT) - CPM;21901897197;0;0;0;0
Skippable in-stream;DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_SHAVERS_6.11.-20.12.2024.;21886231592;0;0;0;0
