Campaign;Campaign ID;Campaign type;Country/Territory (User location);Impr.;Clicks;Cost
VID_OMD_HR-HR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Vera_18.4.-15.6.2025.;22460577070;In-stream video;Croatia;1,631,874;1,516;1599.74
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;22673212687;In-stream video;Croatia;1,421,076;1,877;5500.45
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Zimbabwe;1,540;5;0.83
202509//Ceresit//Ceresit CT19;23051949030;Display;Singapore;11;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Cayman Islands;137;0;0.1
T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;22928895972;In-stream video;Croatia;1,256,267;2,188;2860.6
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Isle of Man;263;0;0.08
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Oman;3;0;0
McDonald's Fries December 2025 (YT) - Bumper;23305942254;In-stream video;Croatia;1,545,576;1,166;1999.65
T03_000227_HR_NFC_CellularLuminous630_CO_Feb25_Apr25_fullf_OMD_DigGR_na;22245320049;In-stream video;Croatia;2,998,557;8,208;6001.29
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Cyprus;347;1;0.22
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Kazakhstan;46,248;19;16.8
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22255099322;In-stream video;Croatia;2,911,566;3,311;2600.38
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Norfolk Island;1;0;0
McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper;22710122542;In-stream video;Croatia;2,093,719;1,396;2000.49
McDonald's McDelivery Wolt II November 2025 (YT) - CPV;23246559597;In-stream video;Croatia;389,052;877;1799.16
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Bahrain;1,586;3;1.19
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Honduras;23,384;37;17.01
McDonald's Trust I May 2025 (YT) - CPV;22515310217;In-stream video;Croatia;920,530;972;3499.24
DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22425796232;Demand Gen;Croatia;2,489,513;46,375;1500.1
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Oman;13,154;3;4.66
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Colombia;91,579;79;81.05
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Jamaica;9,004;14;6.09
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Netherlands;30;0;0
McDonald's McDelivery AO Nov 2025 (YT) - CPV;23204814416;In-stream video;Croatia;387,308;224;1199.78
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts;22551605888;In-stream video;Croatia;518,281;1,508;250.66
McDonald's Grimace Exclusive June 2025 (YT) - CPV;22623078690;In-stream video;Croatia;239,198;259;865.34
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Aruba;315;0;0.11
202509//Ceresit//Ceresit CT19;23051949030;Display;Oman;4;0;0
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - CPV;23159917831;In-stream video;Croatia;522,123;660;1941.98
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Ukraine;30,620;15;30.8
McDonald's Maestro II April - June 2025 (YT) - CPV;22455850267;In-stream video;Croatia;1,440,054;1,823;4998.66
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;French Polynesia;326;0;0.12
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Hungary;371;0;0.06
McDonald's_Triple cheeseburger_March_2025 (YT) - Bumper;22331816158;In-stream video;Croatia;11,930;23;23.96
202511//Ceresit//Ceresit Glue;23229615301;Display;Malta;40;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Italy;59;0;0.28
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Brazil;151,355;16;51.59
202511//Ceresit//Ceresit Glue;23229615301;Display;Denmark;47;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Czechia;64;1;0.14
Nissan All range Feb 2025 (DN) - CPM;22176891264;Display;Croatia;17,884,010;11,698;3799.3
McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV;22931314702;In-stream video;Croatia;1,111,693;4,840;3497.32
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22642254895;In-stream video;Croatia;3,133,659;5,110;6400.73
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Costa Rica;5,391;2;4.73
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Bahrain;2;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Pakistan;66,925;193;47.63
DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23168792639;Demand Gen;Bosnia and Herzegovina;497,588;14,807;650.94
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Nigeria;4,641;8;3.57
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Yemen;11,234;11;2.15
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Jordan;32,663;11;13.77
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;India;2,045,031;4,204;502.25
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Panama;4,944;7;4.45
Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV;23005394785;In-stream video;Croatia;1,287,857;608;3000.39
202512//Ceresit//Ceresit Expert;23348045715;Display;Germany;652;13;0.67
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Wallis and Futuna;6;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Paraguay;27,326;13;10.06
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Tanzania;5,803;29;3.08
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;New Zealand;6;0;0.01
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Ireland;10;0;0.03
McDonald's 1+1 Feb-Mar 2025 (YT) - CPV;22200515907;In-stream video;Croatia;543,252;490;1500.69
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Slovenia;7;0;0
DG_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23156565104;Demand Gen;Croatia;303,718;4,585;1550.44
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Bulgaria;155;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Romania;128;0;0.28
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Germany;13;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Mayotte;329;0;0.11
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Netherlands;1;0;0
202512//Ceresit//Ceresit Expert;23348045715;Display;Guadeloupe;5;0;0
McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper;23062023277;In-stream video;Croatia;1,164,476;363;691.67
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Poland;28;0;0.08
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Greece;40;0;0.1
202511//Ceresit//Ceresit Glue;23229615301;Display;Singapore;19;1;0.05
T03_000033_HR_NCR_Soft_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueView;22429642072;In-stream video;Croatia;3,041,658;6,073;6765.28
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Iceland;1;0;0
202511//Ceresit//Ceresit Glue;23229615301;Display;Ireland;295;4;0.21
McDonald's Happy Meal Squiishmallows June 2025 - CPV;22636378057;In-stream video;Croatia;873,642;871;2999.25
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;Bosnia and Herzegovina;34;3;0.48
202509//Ceresit//Ceresit CT19;23051949030;Display;Luxembourg;16;0;0
202509//Ceresit//Ceresit CT19;23051949030;Display;Latvia;1;0;0
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;South Africa;2;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Ghana;2,378;5;1.64
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Lithuania;79;0;0.08
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Jersey;102;0;0.03
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Brazil;2;0;0
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22642276246;In-stream video;Croatia;2,369,484;3,376;6400.58
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Portugal;94;2;0.06
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2;22445866454;In-stream video;Croatia;414,082;522;806.94
McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV;23000376953;In-stream video;Croatia;1,159,811;1,229;3499.62
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Bangladesh;214,657;192;59.82
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Puerto Rico;115;0;0.15
Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM;22364179833;In-stream video;Croatia;590,504;629;800.35
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 15.10-15.12.2025.;23136999027;Performance Max;Croatia;512,143;4,790;1402.09
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Northern Mariana Islands;49;0;0.03
Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV;23008688560;In-stream video;Croatia;2,193,473;1,666;5000.88
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;British Indian Ocean Territory;7;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Panama;4,736;1;1.54
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Thailand;59,933;120;55.61
McDonald's Coffee Monday II Oct - Dec 2025 (YT) - Bumper;23151276168;In-stream video;Croatia;1,456,695;542;1499.62
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Hungary;21;0;0.05
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Croatia;1,317,365;23,232;5460.02
McDonald's Employer Image II May - June 2025 Demand Gen - CPA;22575094499;Demand Gen;Croatia;3,592,915;57,049;1700.94
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Estonia;22;0;0.03
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Jordan;23,265;34;16.19
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Saint Martin;83;0;0.05
202512//Ceresit//Ceresit Expert;23348045715;Display;Bulgaria;111;1;0.05
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Morocco;71,322;175;45.13
202509//Ceresit//Ceresit CT19;23051949030;Display;Slovakia;36;0;0
Nissan QQ July 2025 - Performance Max;22769359148;Performance Max;Croatia;747,798;13,041;4985.69
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Belarus;19,075;10;11.63
T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_TrueView;22343045254;In-stream video;Croatia;873,197;789;3000.68
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Georgia;11,607;6;9.13
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Cyprus;67;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Guernsey;77;0;0.02
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Qatar;52;0;0
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Zimbabwe;2;1;0.16
T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Urea Trueview;22217496884;In-stream video;Croatia;508,041;927;1250.11
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679748705;Demand Gen;Croatia;4,776,017;83,495;1850.01
202511//Ceresit//Ceresit Glue;23229615301;Display;Guadeloupe;5;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Saudi Arabia;41,868;10;11.87
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Singapore;35;0;0.13
McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV;22872439121;In-stream video;Croatia;190,155;235;406.64
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Estonia;55;1;0.71
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Saint Barthelemy;10;0;0
202509//Ceresit//Ceresit CT19;23051949030;Display;Canada;6;0;0
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22637616678;In-stream video;Croatia;2,653,588;4,825;7500.18
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;22706177735;In-stream video;Croatia;1,049,657;1,097;3000.55
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Isle of Man;72;0;0.04
McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - CPV;23197204073;In-stream video;Croatia;167,003;298;800.33
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.;22133253577;Performance Max;United States;1;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Uganda;4,441;11;2.53
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22983748780;In-stream video;Croatia;2,775,910;2,216;2500.01
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Georgia;8,337;1;2.43
202509//Ceresit//Ceresit CT19;23051949030;Display;Cyprus;152;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Saint Martin;80;0;0.06
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;American Samoa;144;0;0.06
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Hong Kong;487;1;0.21
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Belgium;6;0;0.02
JGL Muzej farmacije HR Jul - Aug 2025 (DN) - CPC;22729381812;Display;Croatia;3,550;9;2.07
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Mexico;1;0;0
Zott Monte Jan - Feb 2025 (YT) - Trueview - CPV;22125482779;In-stream video;Croatia;3,373,924;5,299;5500.37
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Cyprus;41;0;0
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11;23140104916;Demand Gen;Croatia;502,466;11,842;1624.4
202512//Ceresit//Ceresit Expert;23348045715;Display;Israel;7;0;0
T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable Custom;22322350200;In-stream video;Croatia;426,967;1,224;1472.87
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;San Marino;11;0;0.01
DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.;23283832784;Demand Gen;Croatia;60,031;770;550.81
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Malta;1;0;0
202511//Ceresit//Ceresit Glue;23229615301;Display;Lithuania;27;0;0
T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Urea Bumper;22211100459;In-stream video;Croatia;632,105;1,268;749.55
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;In-stream video;Croatia;442,653;494;1500.61
McDonald's Happy Meal Playmobil December 2025 (YT) - Bumper;23351985054;In-stream video;Croatia;439,882;509;799.71
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Malta;262;0;0.06
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Hungary;7;0;0.01
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Kuwait;3,458;4;2.77
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;New Caledonia;114;0;0.07
McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper;22866665976;In-stream video;Croatia;251,554;159;213.3
reflustat_march_2025_youtube_fc_cpm;22357797015;In-stream video;Croatia;6,367,402;5,906;10047.63
McDonald's Adventski kalendar December 2025 (YT) - CPV;23310621005;In-stream video;Croatia;932,111;673;2999.36
