Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Bumper	T03_000055_HR_NBD_BodyMilk_AW_Jan25_Feb25_fullf_OMD_DigGR_Bumper	22129212445	4,967	2,402,886	0.21%	0.8	1.66	0	0.0	333.65	11.97	6.72%	3993.22
Skippable in-stream	T03_000055_HR_NBD_BodyMilk_AW_Jan25_Feb25_fullf_OMD_DigGR_Trueview	22129106611	5,824	2,078,042	0.28%	1.03	2.89	1,061,306	0.01	2,212.81	2.71	0.17%	5999.63
Non-skippable in-stream	202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-34 - Consultant	22126220538	4,983	2,466,991	0.20%	1.4	2.82	0	0.0	0	0.0	0.00%	6954.44
Bumper	202501//Gliss//Gliss Brand Support 2025 (SKMB)//Relaunch Gliss Shampoo 2025//video//Bumper	22092438439	5,924	3,269,164	0.18%	0.64	1.15	0	0.0	0	0.0	0.00%	3771.28
Non-skippable in-stream	202501//Perwoll//Glam 2025//RethinkNew//Trueview	22091900857	2,507	4,400,900	0.06%	3.39	1.93	0	0.0	0	0.0	0.00%	8500.35
Bumper	202501//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Bumper	22088715767	9,689	4,720,480	0.21%	0.61	1.25	0	0.0	0	0.0	0.00%	5905.9
Bumper	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//W35-54 with kids	22088623607	1,134	664,233	0.17%	0.73	1.25	0	0.0	0	0.0	0.00%	833.03
Non-skippable in-stream	202501//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Trueview	22082564343	2,513	3,805,201	0.07%	3.33	2.2	0	0.0	0	0.0	0.00%	8360.06
Non-skippable in-stream	202501//Gliss//Gliss Brand Support 2025 (SKMB)//Relaunch Gliss Shampoo 2025//video//TrueView	22082495706	3,035	2,512,720	0.12%	1.86	2.25	0	0.0	0	0.0	0.00%	5658.57
Bumper	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//All25-34 no kids	22082474532	1,063	795,822	0.13%	0.78	1.04	0	0.0	0	0.0	0.00%	829.19
Bumper	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//W25-54	22082451351	6,503	5,887,856	0.11%	1.08	1.19	0	0.0	0	0.0	0.00%	7002.82
Non-skippable in-stream	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//All25-34 no kids	22082441424	542	571,854	0.09%	2.31	2.19	0	0.0	0	0.0	0.00%	1253.15
Non-skippable in-stream	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//W35-54 with kids	22082424657	808	533,082	0.15%	1.55	2.34	0	0.0	0	0.0	0.00%	1249.9
Non-skippable in-stream	202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//W25-54	22082345952	3,393	4,801,057	0.07%	3.09	2.19	0	0.0	0	0.0	0.00%	10498.47
Bumper	202501//Perwoll//Glam 2025//RethinkNew//Bumper	22081967688	10,156	5,470,226	0.19%	0.61	1.13	0	0.0	0	0.0	0.00%	6183.76
Skippable in-stream	Rio Mare Great Taste December 2025 (YT) - CPM	23345854229	2,035	1,910,182	0.11%	2.14	2.28	679,227	0.01	0	0.0	0.00%	4349.94
In-feed	Rio Mare Great Taste December 2025 (YT) - CPM	23345854229	2	50,794	0.00%	16.27	0.64	785	0.04	0	0.0	0.00%	32.53
Shorts	Rio Mare Great Taste December 2025 (YT) - CPM	23345854229	2,081	1,723,269	0.12%	0.75	0.9	30,065	0.05	0	0.0	0.00%	1556.94
Skippable in-stream	Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach	23304217610	593	734,355	0.08%	2.53	2.04	240,610	0.01	0	0.0	0.00%	1497.68
In-feed	Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach	23304217610	6	292,834	0.00%	25.72	0.53	5,162	0.03	0	0.0	0.00%	154.33
Shorts	Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach	23304217610	1,041	741,987	0.14%	0.54	0.75	13,756	0.04	0	0.0	0.00%	557.2
Skippable in-stream	Rio Mare Pate Mayo October 2025 (YT) - CPM - 2	23151406242	927	854,063	0.11%	2.59	2.81	359,504	0.01	0	0.0	0.00%	2399.76
In-feed	Rio Mare Pate Mayo October 2025 (YT) - CPM - 2	23151406242	17	672,827	0.00%	39.69	1.0	21,700	0.03	0	0.0	0.00%	674.66
Shorts	Rio Mare Pate Mayo October 2025 (YT) - CPM - 2	23151406242	505	543,897	0.09%	0.97	0.9	5,222	0.09	0	0.0	0.00%	489.26
Skippable in-stream	Rio Mare Pate Mayo October 2025 (YT) - CPM	23125923104	193	65,581	0.29%	1.45	4.28	21,115	0.01	0	0.0	0.00%	280.38
In-feed	Rio Mare Pate Mayo October 2025 (YT) - CPM	23125923104	4	107,348	0.00%	24.58	0.92	6,646	0.01	0	0.0	0.00%	98.32
Shorts	Rio Mare Pate Mayo October 2025 (YT) - CPM	23125923104	42	60,418	0.07%	1.36	0.95	848	0.07	0	0.0	0.00%	57.17
Bumper	Borotalco Men Aug - Sep 2025 (CPM) - Bumper	22928971609	3,212	1,737,161	0.18%	0.82	1.52	0	0.0	0	0.0	0.00%	2637.96
Skippable in-stream	Borotalco Men Aug - Sep 2025 (CPV) - VVC	22919079036	3,887	1,736,500	0.22%	1.07	2.4	984,915	0.0	0	0.0	0.00%	4161.26
In-feed	Borotalco Men Aug - Sep 2025 (CPV) - VVC	22919079036	3	199,460	0.00%	32.68	0.49	13,802	0.01	0	0.0	0.00%	98.04
In-feed	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	11	175,512	0.01%	20.48	1.28	6,076	0.04	0	0.0	0.00%	225.24
Bumper	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	1,414	1,125,575	0.13%	1.35	1.7	0	0.0	0	0.0	0.00%	1912.61
Shorts	UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM	22914435242	1,854	752,103	0.25%	0.38	0.95	31,773	0.02	0	0.0	0.00%	711.41
Skippable in-stream	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	51	20,281	0.25%	0.42	1.06	5,906	0.0	0	0.0	0.00%	21.51
In-feed	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	19	764,493	0.00%	12.88	0.32	13,985	0.02	0	0.0	0.00%	244.74
Bumper	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	3,977	2,699,215	0.15%	0.84	1.24	0	0.0	0	0.0	0.00%	3354.85
Shorts	Rio Mare Sicily August 2025 (YT) - CPM	22857496712	1,089	676,568	0.16%	0.35	0.56	9,368	0.04	0	0.0	0.00%	379.17
Skippable in-stream	Borotalco Pure June 2025 (CPV)	22714966255	2,757	2,943,197	0.09%	2.43	2.28	2,008,449	0.0	0	0.0	0.00%	6697.08
In-feed	Borotalco Pure June 2025 (CPV)	22714966255	43	2,317,968	0.00%	25.63	0.48	179,065	0.01	0	0.0	0.00%	1101.92
Bumper	Borotalco Pure June 2025 (Bumper)	22711295453	3,961	2,410,310	0.16%	0.96	1.58	0	0.0	0	0.0	0.00%	3799.92
Skippable in-stream	Rio Mare For Oceans Jun 2025 (YT) - CPV	22629192638	2,388	1,359,002	0.18%	2.07	3.64	855,524	0.01	0	0.0	0.00%	4950.97
In-feed	Rio Mare For Oceans Jun 2025 (YT) - CPV	22629192638	7	111,852	0.01%	6.66	0.42	3,625	0.01	0	0.0	0.00%	46.59
Bumper	Rio Mare For Oceans Jun 2025 (YT) - Bumper	22623027750	2,155	1,345,763	0.16%	0.97	1.56	0	0.0	0	0.0	0.00%	2097.35
Skippable in-stream	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	3,512	2,492,507	0.14%	2.09	2.95	1,729,285	0.0	0	0.0	0.00%	7344.73
In-feed	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	25	625,951	0.00%	14.53	0.58	43,388	0.01	0	0.0	0.00%	363.13
Shorts	Rio Mare Filodolio May - Jun 2025 (YT) - CPV	22524793110	70	36,728	0.19%	0.23	0.44	1,043	0.02	0	0.0	0.00%	16.31
Bumper	UHU Super Glue Control April 2025 (YT) - Bumper - CPM	22424964895	8,869	3,719,854	0.24%	0.79	1.87	0	0.0	0	0.0	0.00%	6963.46
Shorts	UHU Super Glue Control April 2025 (YT) - Bumper - CPM	22424964895	1,020	491,262	0.21%	0.74	1.54	11,874	0.06	0	0.0	0.00%	754.57
Skippable in-stream	Rio Mare Insalatissime Apr - May 2025 (YT) - CPM	22422142785	3,873	1,623,821	0.24%	0.83	1.97	419,033	0.01	0	0.0	0.00%	3201.78
Shorts	Rio Mare Insalatissime Apr - May 2025 (YT) - CPM	22422142785	1,495	1,019,865	0.15%	0.53	0.78	9,806	0.08	0	0.0	0.00%	797.21
Skippable in-stream	Dr. Oetker Easter Apr 2025 (YT) - CPV	22408653275	2,189	993,133	0.22%	1.26	2.77	585,069	0.0	0	0.0	0.00%	2751.01
Shorts	Dr. Oetker Easter Apr 2025 (YT) - CPV	22408653275	194	79,053	0.25%	0.19	0.46	2,202	0.02	0	0.0	0.00%	36.24
Skippable in-stream	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	32	119,909	0.03%	8.61	2.3	37,269	0.01	0	0.0	0.00%	275.6
Bumper	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	614	316,496	0.19%	0.72	1.39	0	0.0	0	0.0	0.00%	439.71
Shorts	Dr. Oetker Easter Apr 2025 (YT) - Reach Mix - CPM	22378998132	588	364,537	0.16%	0.5	0.81	9,642	0.03	0	0.0	0.00%	296.29
Skippable in-stream	LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA	22339069891	3,499	3,090,736	0.11%	2.05	2.32	2,024,817	0.0	0	0.0	0.00%	7162.02
In-feed	LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA	22339069891	35	667,714	0.01%	9.59	0.5	45,373	0.01	0	0.0	0.00%	335.79
Skippable in-stream	LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA	22309984514	1,336	1,238,073	0.11%	2.51	2.7	869,972	0.0	10	334.71	0.00%	3347.06
In-feed	LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA	22309984514	43	525,249	0.01%	6.37	0.52	35,236	0.01	0	0.0	0.00%	274.02
Skippable in-stream	LOC_HRV_HR_BAR_PESS_NA_Pesto-March_PR_NA_2025-03-10_2025-03-30_NA	22306320697	1,798	1,426,633	0.13%	2.0	2.52	946,923	0.0	51.06	70.46	0.00%	3598.07
In-feed	LOC_HRV_HR_BAR_PESS_NA_Pesto-March_PR_NA_2025-03-10_2025-03-30_NA	22306320697	19	404,887	0.00%	10.76	0.5	27,090	0.01	0	0.0	0.00%	204.35
Skippable in-stream	LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA	22286693225	1,333	1,847,256	0.07%	2.93	2.12	1,173,630	0.0	0	0.0	0.00%	3911.0
In-feed	LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA	22286693225	4	196,072	0.00%	22.25	0.45	12,964	0.01	0	0.0	0.00%	89.02
Skippable in-stream	LOC_HRV_HR_MUL_PANB_NA_Pan-Bauletto_PR_NA_2025-02-15_2025-03-15_NA	22241443084	3,432	2,694,733	0.13%	1.66	2.11	1,707,404	0.0	0	0.0	0.00%	5685.02
In-feed	LOC_HRV_HR_MUL_PANB_NA_Pan-Bauletto_PR_NA_2025-02-15_2025-03-15_NA	22241443084	88	712,649	0.01%	3.57	0.44	46,371	0.01	0	0.0	0.00%	313.84
Skippable in-stream	LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA	22222166343	1,240	1,416,643	0.09%	2.87	2.51	948,574	0.0	0	0.0	0.00%	3559.22
In-feed	LOC_HRV_HR_GRA_GRAC_NA_Always-on-CPU-2025_AO_NA_2025-02-17_2025-11-30_NA	22222166343	68	1,120,053	0.01%	6.49	0.39	62,776	0.01	0	0.0	0.00%	441.32
In-feed	Dr. Oetker Ristorante Feliciana Feb 2025 (YT) - Reach Mix - CPM	22200112980	3	92,588	0.00%	5.46	0.18	1,298	0.01	0	0.0	0.00%	16.38
Bumper	Dr. Oetker Ristorante Feliciana Feb 2025 (YT) - Reach Mix - CPM	22200112980	418	838,894	0.05%	1.9	0.95	0	0.0	0	0.0	0.00%	795.24
Shorts	Dr. Oetker Ristorante Feliciana Feb 2025 (YT) - Reach Mix - CPM	22200112980	657	615,453	0.11%	0.4	0.43	12,044	0.02	0	0.0	0.00%	265.6
Skippable in-stream	LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview	22183805418	1,966	1,839,913	0.11%	2.52	2.69	1,267,760	0.0	4	1239.24	0.00%	4956.94
In-feed	LOC_HRV_HR_BAR_BLUE_NA_Always-on_AO_NA_2025-01-01_2025-12-31-Trueview	22183805418	68	1,995,762	0.00%	14.02	0.48	127,145	0.01	8	119.16	0.00%	953.29
In-feed	HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO	23247973596	58,023	3,477,238	1.67%	0.03	0.57	0	0.0	0	0.0	0.00%	1995.56
In-feed	HR_HE_TV_HR_25_Q4_OLED-DG_OLED-TV-DG_lg.com/hr/oled-tv_consideration_20251017-0005_google-ads_DIS_PRO_CPC_CLK_PRO	23167636230	26,038	2,908,413	0.90%	0.05	0.48	0	0.0	0	0.0	0.00%	1397.44
In-feed	HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO	23096352143	89,128	5,739,226	1.55%	0.04	0.62	0	0.0	0	0.0	0.00%	3550.07
In-feed	HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO	23096285714	71,159	5,398,121	1.32%	0.05	0.64	0	0.0	0	0.0	0.00%	3449.8
In-feed	HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO	23048113569	75,761	4,904,320	1.54%	0.03	0.52	0	0.0	0	0.0	0.00%	2549.15
In-feed	HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO	22693786294	91,525	4,721,188	1.94%	0.04	0.75	0	0.0	0	0.0	0.00%	3544.13
In-feed	HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH	22689917264	71,430	3,657,868	1.95%	0.04	0.72	0	0.0	0	0.0	0.00%	2650.52
In-feed	HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH	22666305736	91,211	4,225,977	2.16%	0.03	0.7	0	0.0	0	0.0	0.00%	2950.08
Shorts	HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH	22666305736	1	529	0.19%	0.13	0.25	0	0.0	0	0.0	0.00%	0.13
Skippable in-stream	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	215	591,136	0.04%	6.53	2.38	178,057	0.01	0	0.0	0.00%	1404.91
In-feed	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	38	1,204,631	0.00%	12.96	0.41	22,136	0.02	0	0.0	0.00%	492.61
Bumper	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	3,086	1,726,053	0.18%	0.75	1.35	0	0.0	0	0.0	0.00%	2329.41
Shorts	BoxNow May - Jun 2025 (YT) - Reach Mix - CPM	22585304100	1,660	1,141,674	0.15%	0.47	0.68	24,282	0.03	0	0.0	0.00%	772.28
Bumper	202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Bumper	22540555902	3,357	1,767,718	0.19%	0.77	1.46	0	0.0	0	0.0	0.00%	2576.79
Non-skippable in-stream	202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Trueview	22540518399	3,053	1,767,804	0.17%	1.31	2.26	0	0.0	0	0.0	0.00%	3993.95
In-feed	HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO	22509740775	31,507	1,799,680	1.75%	0.03	0.57	0	0.0	0	0.0	0.00%	1022.17
Shorts	HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO	22509740775	1,450	285,825	0.51%	0.03	0.15	0	0.0	0	0.0	0.00%	44.03
Non-skippable in-stream	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview	22339790134	1,992	2,902,995	0.07%	3.01	2.07	0	0.0	0	0.0	0.00%	6001.38
Bumper	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper	22339783192	7,460	4,029,329	0.19%	0.67	1.24	0	0.0	0	0.0	0.00%	5001.35
Non-skippable in-stream	202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview	22137629441	2,358	1,994,714	0.12%	1.7	2.01	0	0.0	0	0.0	0.00%	4000.11
Bumper	202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper	22131389199	3,139	1,869,412	0.17%	0.78	1.3	0	0.0	0	0.0	0.00%	2434.08
Bumper	202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper	22088751497	1,966	1,211,707	0.16%	0.76	1.24	0	0.0	0	0.0	0.00%	1500.57
Non-skippable in-stream	202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview	22082603646	844	1,111,621	0.08%	2.67	2.02	0	0.0	0	0.0	0.00%	2250.71
Skippable in-stream	MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL	23337586207	10,400	245,876	4.23%	0.03	1.21	29,369	0.01	17.33	17.16	0.04%	297.36
In-feed	MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL	23337586207	93,878	4,118,099	2.28%	0.03	0.65	358	0.91	445.15	5.99	0.45%	2665.63
Shorts	MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL	23337586207	1,092	114,880	0.95%	0.03	0.26	559	0.03	0	0.0	0.00%	30.38
In-feed	Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC	23268872371	57,793	2,773,864	2.08%	0.04	0.73	0	0.0	4,456.14	0.46	7.71%	2034.72
Shorts	Kaufland - Impuls - Božić - Nov-Dec - (DG) - CPC	23268872371	3,830	546,889	0.70%	0.03	0.21	0	0.0	304.29	0.38	7.94%	115.63
Skippable in-stream	Kaufland - Image - Božić - Nov - Dec (YT) - CPM	23259665943	2,177	1,234,724	0.18%	0.95	1.67	423,588	0.0	2,044.22	1.01	0.40%	2058.7
In-feed	Kaufland - Image - Božić - Nov - Dec (YT) - CPM	23259665943	7	738,987	0.00%	55.88	0.53	10,080	0.04	153.16	2.55	0.92%	391.15
In-feed	Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC	23257840267	38,375	1,444,829	2.66%	0.04	0.94	0	0.0	2,844.30	0.48	7.41%	1361.11
Shorts	Kaufland - Impuls - Kaufland Card - Nagradna igra - Orašar - November - (DG) - CPC	23257840267	2,607	359,955	0.72%	0.03	0.24	0	0.0	96.29	0.91	3.69%	87.15
Skippable in-stream	Audi Akumulator Nov - Dec 2025 (DG) - CPC	23228911139	1,325	38,138	3.47%	0.03	1.09	5,768	0.01	3.57	11.65	0.05%	41.6
In-feed	Audi Akumulator Nov - Dec 2025 (DG) - CPC	23228911139	27,367	1,537,166	1.78%	0.03	0.56	151	2.56	343.05	2.5	0.85%	858.81
Shorts	Audi Akumulator Nov - Dec 2025 (DG) - CPC	23228911139	806	82,290	0.98%	0.03	0.28	519	0.03	1.25	18.68	0.06%	23.36
Skippable in-stream	Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM	23227314390	1,884	1,862,841	0.10%	2.03	2.06	764,279	0.01	624.54	6.13	0.07%	3830.79
In-feed	Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM	23227314390	37	1,005,175	0.00%	12.76	0.47	10,464	0.05	49	9.64	0.28%	472.18
Shorts	Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM	23227314390	1,350	924,482	0.15%	0.52	0.75	12,378	0.06	357.58	1.95	1.43%	695.56
In-feed	Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC	23224632388	41,815	2,375,015	1.76%	0.03	0.59	0	0.0	2,630.79	0.53	6.29%	1406.17
Shorts	Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC	23224632388	2,830	427,183	0.66%	0.03	0.22	0	0.0	126.13	0.74	4.46%	92.8
Skippable in-stream	Kaufland - Image - CSR - IT Bags - Nov 2025 (YT) - VVC	23223863253	343	133,362	0.26%	0.69	1.77	92,755	0.0	367.63	0.64	0.39%	236.19
Shorts	Kaufland - Image - CSR - IT Bags - Nov 2025 (YT) - VVC	23223863253	424	176,593	0.24%	0.39	0.93	14,664	0.01	266.18	0.62	0.80%	164.07
Non-skippable in-stream	Finish Reckitt PIP Nov 2025 (YT) - CPM - Retargeting	23223501740	416	819,166	0.05%	5.92	3.0	0	0.0	0	0.0	0.00%	2461.14
Skippable in-stream	Porsche DWA Oct - Dec 2025 (DG) - CPC	23205620765	31,488	629,596	5.00%	0.03	1.44	111,488	0.01	0	0.0	0.00%	907.27
In-feed	Porsche DWA Oct - Dec 2025 (DG) - CPC	23205620765	16,524	836,871	1.97%	0.03	0.66	523	0.28	0	0.0	0.00%	554.96
Shorts	Porsche DWA Oct - Dec 2025 (DG) - CPC	23205620765	1,210	152,096	0.80%	0.03	0.26	536	0.03	0	0.0	0.00%	38.79
Skippable in-stream	Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM	23205520748	882	1,452,170	0.06%	3.45	2.09	652,450	0.0	0	0.0	0.00%	3042.26
In-feed	Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM	23205520748	26	976,391	0.00%	16.99	0.45	12,193	0.04	0	0.0	0.00%	441.73
Shorts	Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM	23205520748	1,842	1,294,029	0.14%	0.55	0.79	28,063	0.04	0	0.0	0.00%	1016.12
Skippable in-stream	Finish Reckitt PIP Nov 2025 (YT) - CPV	23204324852	1,451	1,599,116	0.09%	3.78	3.43	1,057,907	0.01	0	0.0	0.00%	5491.45
Skippable in-stream	Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC	23178401984	3,280	151,412	2.17%	0.04	0.94	22,959	0.01	33.59	4.25	0.11%	142.83
In-feed	Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC	23178401984	49,002	2,442,868	2.01%	0.04	0.77	207	2.37	545.2	3.45	0.84%	1880.99
Shorts	Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC	23178401984	3,924	506,497	0.77%	0.03	0.26	748	0.03	55.55	2.37	1.01%	131.41
Skippable in-stream	Audi Metlice Oct - Dec 2025 (DG) - CPC	23172640507	21,117	491,726	4.29%	0.03	1.21	83,170	0.01	213.74	2.78	0.17%	594.14
In-feed	Audi Metlice Oct - Dec 2025 (DG) - CPC	23172640507	2,926	118,808	2.46%	0.06	1.46	14	3.84	28.28	6.14	0.69%	173.66
Shorts	Audi Metlice Oct - Dec 2025 (DG) - CPC	23172640507	66	6,730	0.98%	0.03	0.28	18	0.02	0	0.0	0.00%	1.88
Skippable in-stream	Finish Reckitt PIP Oct 2025 (YT) - CPV	23156802396	894	754,014	0.12%	3.36	3.98	473,432	0.01	0	0.0	0.00%	2999.9
In-feed	Finish Reckitt PIP Oct 2025 (YT) - CPV	23156802396	0	30	0.00%	0.0	1.15	2	0.02	0	0.0	0.00%	0.03
Skippable in-stream	Audi Gume Oct - Dec 2025 (DG) - CPC	23151461725	2,465	71,778	3.43%	0.04	1.25	13,954	0.01	98.17	0.91	0.69%	89.73
In-feed	Audi Gume Oct - Dec 2025 (DG) - CPC	23151461725	35,384	1,466,077	2.41%	0.04	0.97	109	2.44	500.95	2.85	1.14%	1426.07
Shorts	Audi Gume Oct - Dec 2025 (DG) - CPC	23151461725	4,470	663,072	0.67%	0.04	0.24	551	0.04	33.8	4.76	0.55%	160.78
Skippable in-stream	Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC	23129909181	1,123	677,381	0.17%	1.66	2.75	419,910	0.0	1,329.10	1.4	0.26%	1864.62
In-feed	Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC	23129909181	18	922,642	0.00%	25.56	0.5	59,794	0.01	785.23	0.59	0.82%	460.08
Shorts	Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC	23129909181	662	288,917	0.23%	0.26	0.61	13,322	0.01	94.96	1.84	0.42%	175.2
Skippable in-stream	Porsche Moon Oct - Dec 2025 - (YT) - VVC	23095969598	1,832	2,449,413	0.07%	2.93	2.19	1,594,740	0.0	0	0.0	0.00%	5364.27
In-feed	Porsche Moon Oct - Dec 2025 - (YT) - VVC	23095969598	6	245,027	0.00%	18.02	0.44	15,113	0.01	0	0.0	0.00%	108.09
Shorts	Porsche Moon Oct - Dec 2025 - (YT) - VVC	23095969598	70	39,407	0.18%	0.41	0.73	2,650	0.01	0	0.0	0.00%	28.62
In-feed	Porsche Moon Oct - Dec 2025 - (DG) - CPC	23095969412	74,995	4,520,397	1.66%	0.03	0.55	0	0.0	4	624.83	0.01%	2499.34
In-feed	Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR	23073689005	226,516	10,370,528	2.18%	0.05	1.09	0	0.0	39,686.20	0.28	17.52%	11301.16
Shorts	Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR	23073689005	20,730	2,722,147	0.76%	0.03	0.23	0	0.0	607.75	1.02	2.93%	622.45
