Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Non-skippable in-stream	202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview	22642352104	6,179	5,521,544	0.11%	2.22	2.48	0	0.0	0	0.0	0.00%	13711.21
Skippable in-stream	T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview	22642276246	3,376	2,369,484	0.14%	1.9	2.7	642,647	0.01	319.84	20.01	0.03%	6400.58
Bumper	T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper	22642254895	5,110	3,133,659	0.16%	1.25	2.04	0	0.0	90.25	70.92	1.77%	6400.73
Skippable in-stream	T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview	22637616678	4,825	2,653,588	0.18%	1.55	2.83	705,224	0.01	271.45	27.63	0.03%	7500.18
Skippable in-stream	202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper	22632678660	598	462,237	0.13%	1.56	2.02	148,132	0.01	0	0.0	0.00%	932.34
Bumper	202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper	22632678660	16,434	6,753,519	0.24%	0.6	1.46	0	0.0	0	0.0	0.00%	9875.69
Bumper	202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//Bumper	22629474629	7,204	3,515,363	0.20%	0.69	1.41	0	0.0	0	0.0	0.00%	4941.48
Non-skippable in-stream	202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//TrueView	22629454076	3,727	3,027,352	0.12%	2.0	2.46	0	0.0	0	0.0	0.00%	7458.56
Skippable in-stream	T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview	22609346806	15,672	5,623,017	0.28%	0.79	2.2	1,528,764	0.01	1,659.59	7.44	0.08%	12348.11
Bumper	T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper	22605577634	8,367	4,584,088	0.18%	1.03	1.88	0	0.0	132.33	64.96	1.58%	8596.68
Skippable in-stream	T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview	22601760185	2,077	1,781,591	0.12%	3.13	3.65	1,177,320	0.01	381.09	17.05	0.03%	6499.08
Shorts	T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Shorts	22601647835	2,814	1,055,685	0.27%	0.25	0.66	29,187	0.02	134.33	5.21	0.25%	700.44
Skippable in-stream	T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview	22601582282	683	595,536	0.11%	2.34	2.69	170,389	0.01	41.15	38.88	0.02%	1600.01
Bumper	T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper	22601549246	980	786,812	0.12%	1.63	2.03	0	0.0	28.12	56.9	2.87%	1600.13
Shorts	T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts	22599321744	3,521	1,811,838	0.19%	0.87	1.68	47,685	0.06	214.67	14.22	0.36%	3052.92
Bumper	202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Bumper	22594603356	3,416	1,603,504	0.21%	0.63	1.35	0	0.0	0	0.0	0.00%	2163.8
Non-skippable in-stream	202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Trueview	22594564050	302	1,383,150	0.02%	10.75	2.35	0	0.0	0	0.0	0.00%	3246.12
Bumper	202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Bumper	22592918381	19,771	8,852,533	0.22%	0.59	1.31	0	0.0	0	0.0	0.00%	11608.22
Non-skippable in-stream	202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview	22592916878	10,386	6,631,590	0.16%	1.35	2.11	0	0.0	0	0.0	0.00%	13999.13
